date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1300,0.6400,1.0100,1.3700,1.0100,0.5800,0.9500,0.2000,0.2500,0.4300,0.6482,0.7007,0.6611,0.6225,0.6611,0.7050,0.6675,0.7050,0.7050,0.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-02-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3364.56,5064.76,4000.80,2555.93,1913.04,1038.84,214.86,2566.67,1598.58,530.19,1.1379,0.6412,1.0184,1.3776,1.0128,0.5821,0.9545,0.2018,0.2516,0.4173,0.6482,0.7007,0.6611,0.6225,0.6611,0.7050,0.6675,0.7050,0.7050,0.7050,0.0019,0.0004,0.0178,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-03-01,0.9996,0.9988,1.0005,0.9993,1.0005,1.0002,1.0019,1.0019,0.9984,0.9996,0.9990,1.0001,3364.73,5073.17,4012.28,2558.20,1913.14,1041.43,215.54,2570.72,1602.63,531.30,1.1446,0.6428,1.0229,1.3858,1.0185,0.5842,0.9581,0.2037,0.2528,0.4032,0.6319,0.7110,0.6379,0.6219,0.6679,0.7012,0.6832,0.7109,0.6837,0.6829,0.0040,0.0008,0.0192,0.0023,0.0042,0.0001,0.0024,0.0004,0.0010,0.0048,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-04-01,1.0001,0.9980,0.9990,0.9988,1.0000,1.0003,1.0017,1.0034,0.9971,1.0000,0.9992,0.9985,3361.45,5064.08,4006.52,2558.16,1919.37,1043.64,216.56,2579.49,1612.98,532.97,1.1519,0.6464,1.0313,1.3946,1.0206,0.5864,0.9593,0.2053,0.2530,0.3888,0.6225,0.7086,0.6518,0.6142,0.6430,0.6925,0.6955,0.7110,0.6841,0.6939,0.0022,0.0010,0.0168,0.0009,0.0018,0.0008,0.0015,0.0002,0.0007,0.0015,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-05-01,0.9999,0.9987,1.0004,0.9991,1.0003,1.0021,1.0009,1.0011,0.9969,0.9997,0.9974,0.9978,3366.40,5070.07,4013.70,2557.46,1919.92,1046.06,216.59,2581.04,1623.62,533.91,1.1558,0.6479,1.0359,1.4033,1.0252,0.5881,0.9642,0.2074,0.2532,0.3748,0.6079,0.6726,0.6215,0.6002,0.6572,0.6819,0.7215,0.7292,0.7233,0.7153,0.0058,0.0055,0.0200,0.0104,0.0062,0.0021,0.0005,0.0003,0.0049,0.0017,0.9865,0.9864,0.9930,0.9887,0.9884,0.9889,0.9989,1.0000,0.9902,1.0000
2026-06-01,0.9999,0.9998,0.9993,1.0023,0.9985,1.0033,1.0013,1.0022,0.9985,0.9975,0.9974,0.9987,3380.23,5073.18,4026.96,2559.45,1915.84,1047.16,216.46,2578.19,1628.14,533.72,1.1560,0.6496,1.0383,1.4099,1.0319,0.5904,0.9691,0.2098,0.2543,0.3617,0.6115,0.6773,0.6313,0.5860,0.6369,0.6777,0.6967,0.7150,0.7419,0.7140,0.0064,0.0069,0.0205,0.0161,0.0062,0.0032,0.0041,0.0018,0.0040,0.0044,0.9767,0.9779,0.9878,0.9805,0.9784,0.9826,0.9984,1.0000,0.9838,1.0000
2026-07-01,0.9996,1.0017,1.0007,1.0039,0.9972,1.0036,1.0017,1.0011,1.0007,0.9969,0.9974,0.9979,3378.63,5070.39,4032.42,2558.60,1916.54,1051.57,216.24,2579.01,1632.86,534.45,1.1609,0.6520,1.0422,1.4175,1.0357,0.5905,0.9737,0.2120,0.2554,0.3479,0.6275,0.6756,0.6505,0.5841,0.6041,0.6642,0.6718,0.6908,0.7236,0.6943,0.0090,0.0095,0.0219,0.0180,0.0096,0.0040,0.0017,0.0012,0.0081,0.0018,0.9601,0.9638,0.9792,0.9668,0.9614,0.9721,0.9974,1.0000,0.9732,1.0000
2026-08-01,0.9953,1.0003,1.0021,1.0044,1.0004,1.0031,1.0009,1.0025,1.0019,0.9970,0.9986,0.9982,3385.74,5066.57,4035.48,2562.82,1916.49,1052.87,216.65,2579.83,1638.45,534.58,1.1622,0.6546,1.0462,1.4217,1.0394,0.5921,0.9749,0.2142,0.2564,0.3345,0.6076,0.6616,0.6455,0.5713,0.6013,0.6845,0.6506,0.6865,0.7082,0.6979,0.0034,0.0021,0.0193,0.0087,0.0076,0.0000,0.0003,0.0001,0.0022,0.0072,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-09-01,0.9932,0.9991,1.0042,1.0047,1.0034,1.0034,1.0002,1.0016,1.0020,0.9962,1.0019,0.9991,3391.21,5083.60,4037.86,2561.81,1921.00,1057.67,216.56,2583.47,1641.66,535.63,1.1634,0.6545,1.0499,1.4283,1.0404,0.5915,0.9775,0.2162,0.2577,0.3205,0.6127,0.6565,0.6389,0.5850,0.5968,0.6718,0.6641,0.6848,0.7080,0.6862,0.0068,0.0032,0.0229,0.0112,0.0103,0.0001,0.0022,0.0005,0.0041,0.0099,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2026-10-01,0.9912,0.9961,1.0041,1.0019,1.0038,1.0019,0.9990,1.0016,1.0013,0.9960,1.0031,1.0000,3392.86,5092.86,4038.16,2559.71,1925.88,1062.32,216.55,2585.26,1647.17,537.91,1.1653,0.6553,1.0536,1.4348,1.0410,0.5907,0.9793,0.2183,0.2587,0.3059,0.6101,0.6913,0.6300,0.5730,0.6159,0.6940,0.6508,0.6938,0.6915,0.6947,0.0001,0.0000,0.0004,0.0006,0.0009,0.0000,0.0001,0.0000,0.0000,0.0012,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
