date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0739,0.1337,0.0486,0.0868,0.0114,0.0806,0.1082,0.0016,0.1382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0737,1.0272,1.0377,1.0397,1.0268,1.0569,1.0247,1.0247,1.0417,1.0274,1.0247,1.0000,3368.85,5053.35,4005.28,2552.70,1909.19,1038.67,212.58,2562.32,1602.16,531.17,1.1686,0.6331,1.0318,1.3831,1.0122,0.5957,1.1279,0.1778,0.2409,0.4463,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0139,0.0114,0.0296,0.0205,0.0185,0.0000,0.0278,0.0025,0.0136,0.0141,0.9793,0.9788,0.9899,0.9779,0.9796,1.0000,0.9876,1.0000,0.9729,1.0000,50.88,180.46,76.31,51.83,59.37,9.22,4.24,232.99,55.64,79.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.0438,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0731,0.1336,0.0478,0.0864,0.0113,0.0722,0.1041,0.0015,0.1357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.3,32.9,32.5,33.6,33.3,33.1,34.0,33.3,33.8,32.9
2026-03-01,1.0016,1.0008,1.0003,1.0003,1.0004,1.0015,1.0008,1.0007,1.0010,1.0025,1.0009,1.0000,1.1159,1.0307,1.0386,1.0399,1.0274,1.0582,1.0215,1.0172,1.0226,1.0646,1.0263,1.0000,3371.33,5055.75,4008.00,2553.81,1911.90,1041.86,211.32,2564.13,1607.04,531.44,1.1756,0.6364,1.0389,1.3938,1.0171,0.5943,1.1425,0.1814,0.2429,0.4334,0.6492,0.7102,0.6583,0.6258,0.6623,0.7196,0.5763,0.6614,0.6756,0.7041,0.0149,0.0127,0.0294,0.0212,0.0192,0.0012,0.0867,0.0021,0.0137,0.0128,0.9785,0.9778,0.9895,0.9772,0.9790,0.9992,0.9676,1.0000,0.9722,1.0000,50.66,180.76,76.18,51.49,59.14,9.16,5.70,234.34,55.64,78.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4605,0.0439,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95738,572479,131417,91336,0,0,0,0,0,0,0,37,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0503,0.0279,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0732,0.1336,0.0478,0.0864,0.0114,0.0755,0.1052,0.0015,0.1335,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.6,35.7,35.1,37.2,36.5,36.3,37.4,36.5,37.5,35.6
2026-04-01,1.0059,1.0026,1.0009,1.0007,1.0009,1.0042,1.0013,1.0011,1.0015,1.0047,1.0016,1.0000,1.0960,1.0300,1.0370,1.0371,1.0274,1.0596,1.0107,1.0057,1.0150,1.0499,1.0175,1.0000,3374.06,5058.55,4010.97,2555.17,1914.74,1045.09,210.38,2566.27,1612.00,531.75,1.1820,0.6395,1.0455,1.4044,1.0216,0.5925,1.1553,0.1847,0.2447,0.4204,0.6436,0.7040,0.6483,0.6210,0.6500,0.7160,0.5148,0.6620,0.6646,0.6999,0.0116,0.0104,0.0263,0.0181,0.0160,0.0000,0.0841,0.0014,0.0117,0.0109,0.9805,0.9799,0.9905,0.9792,0.9808,1.0000,0.9680,1.0000,0.9744,1.0000,51.35,182.49,77.22,52.33,60.00,9.28,5.75,237.41,56.23,79.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4585,0.0414,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95631,572586,131417,91336,0,0,0,0,0,0,0,144,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0903,0.0450,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1187,0.0734,0.1336,0.0481,0.0864,0.0115,0.0755,0.1055,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.8,38.5,37.5,40.7,39.7,39.4,40.4,39.7,41.2,38.4
2026-05-01,1.0095,1.0039,1.0015,1.0010,1.0013,1.0059,1.0015,1.0012,1.0016,1.0062,1.0020,1.0001,1.0937,1.0317,1.0380,1.0358,1.0277,1.0616,1.0052,1.0028,1.0153,1.0392,1.0118,1.0001,3376.83,5061.45,4014.02,2556.64,1917.60,1048.33,209.72,2568.53,1616.97,532.10,1.1876,0.6423,1.0514,1.4149,1.0255,0.5904,1.1661,0.1879,0.2462,0.4072,0.6448,0.7037,0.6415,0.6188,0.6545,0.7251,0.4870,0.6644,0.6664,0.6961,0.0111,0.0104,0.0256,0.0176,0.0157,0.0000,0.0657,0.0012,0.0117,0.0101,0.9802,0.9796,0.9903,0.9789,0.9805,1.0000,0.9682,1.0000,0.9741,1.0000,51.32,182.88,77.56,52.53,60.02,9.35,5.73,236.93,56.36,79.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0419,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95540,572677,131417,91336,0,0,0,0,0,0,0,235,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1262,0.0609,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0735,0.1336,0.0483,0.0864,0.0116,0.0755,0.1056,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,43.0,41.3,39.9,44.2,42.9,42.6,43.2,43.0,44.9,41.1
2026-06-01,1.0130,1.0049,1.0020,1.0012,1.0017,1.0070,1.0016,1.0011,1.0016,1.0072,1.0023,1.0001,1.0959,1.0330,1.0390,1.0346,1.0278,1.0629,1.0032,1.0028,1.0153,1.0304,1.0073,1.0001,3379.62,5064.42,4017.10,2558.19,1920.47,1051.59,209.22,2570.88,1621.96,532.49,1.1927,0.6449,1.0569,1.4255,1.0290,0.5884,1.1757,0.1909,0.2475,0.3940,0.6447,0.6989,0.6378,0.6172,0.6581,0.7246,0.4866,0.6606,0.6853,0.6959,0.0110,0.0103,0.0253,0.0170,0.0155,0.0000,0.0609,0.0012,0.0118,0.0098,0.9799,0.9793,0.9902,0.9786,0.9803,1.0000,0.9684,1.0000,0.9738,1.0000,51.20,183.11,77.80,52.63,59.93,9.40,5.70,236.15,56.44,79.72,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0424,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95407,572810,131417,91336,0,0,0,0,0,0,0,368,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1678,0.0781,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0736,0.1337,0.0484,0.0864,0.0116,0.0755,0.1056,0.0015,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,46.2,44.0,42.3,47.7,46.1,45.8,46.0,46.2,48.8,43.9
2026-07-01,1.0162,1.0057,1.0026,1.0014,1.0020,1.0077,1.0016,1.0011,1.0016,1.0078,1.0024,1.0001,1.0988,1.0340,1.0397,1.0336,1.0279,1.0635,1.0032,1.0027,1.0153,1.0211,1.0040,1.0001,3382.44,5067.45,4020.22,2559.82,1923.35,1054.86,208.81,2573.29,1626.98,532.90,1.1971,0.6473,1.0618,1.4361,1.0320,0.5864,1.1843,0.1938,0.2485,0.3807,0.6421,0.6965,0.6336,0.6160,0.6529,0.7169,0.4914,0.6743,0.6877,0.6933,0.0109,0.0102,0.0250,0.0165,0.0154,0.0000,0.0597,0.0011,0.0118,0.0095,0.9798,0.9791,0.9901,0.9785,0.9802,1.0000,0.9687,1.0000,0.9737,1.0000,51.11,183.31,77.99,52.75,59.88,9.44,5.71,235.48,56.47,80.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4576,0.0426,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95297,572920,131417,91336,0,0,0,0,0,0,0,478,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2069,0.0945,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0736,0.1337,0.0485,0.0864,0.0116,0.0754,0.1056,0.0016,0.1347,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,49.5,46.8,44.7,51.3,49.3,48.9,48.8,49.5,52.6,46.6
2026-08-01,1.0193,1.0063,1.0031,1.0015,1.0022,1.0080,1.0015,1.0010,1.0015,1.0082,1.0023,1.0000,1.1921,1.0782,1.0508,1.0421,1.0455,1.0789,1.0098,1.0093,1.0346,1.0202,1.0122,1.0000,3386.95,5069.21,4022.65,2549.93,1913.92,1058.09,208.46,2575.16,1632.63,532.91,1.2003,0.6496,1.0664,1.4532,1.0414,0.5844,1.1922,0.1965,0.2492,0.3677,0.6450,0.6957,0.6346,0.6072,0.6581,0.7193,0.4926,0.6753,0.6731,0.6900,0.0114,0.0112,0.0255,0.0666,0.0743,0.0000,0.0590,0.0012,0.0105,0.0101,0.9796,0.9790,0.9901,0.8688,0.8462,1.0000,0.9688,1.0000,0.9735,1.0000,50.98,178.13,76.26,45.18,49.77,9.23,5.51,225.05,56.18,76.98,0.0000,0.0000,0.0000,0.1324,0.1589,0.0000,0.4572,0.0429,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95139,573078,131417,91336,0,0,0,0,0,0,0,636,0,0,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.2513,0.1120,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1221,0.0721,0.1326,0.0477,0.0861,0.0113,0.0748,0.1042,0.0038,0.1298,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.7,49.5,47.1,54.7,52.5,52.1,51.6,52.8,56.4,49.3
2026-09-01,1.0257,1.0089,1.0038,1.0020,1.0025,1.0089,1.0024,1.0018,1.0025,1.0092,1.0034,0.9997,1.1965,1.0804,1.0515,1.0393,1.0453,1.0796,1.0222,1.0169,1.0366,1.0283,1.0286,0.9997,3390.78,5073.60,4026.79,2542.86,1907.69,1061.33,208.12,2577.14,1638.24,532.96,1.2033,0.6515,1.0700,1.4691,1.0480,0.5828,1.1996,0.1990,0.2498,0.3546,0.6466,0.6966,0.6315,0.5738,0.5692,0.7203,0.4952,0.6809,0.6716,0.6900,0.0123,0.0108,0.0266,0.0656,0.0749,0.0000,0.0586,0.0014,0.0105,0.0114,0.9798,0.9791,0.9901,0.8692,0.8471,1.0000,0.9693,1.0000,0.9737,1.0000,50.80,179.51,75.17,47.04,50.32,9.43,5.44,223.21,56.04,77.25,0.0000,0.0000,0.0000,0.1325,0.1586,0.0000,0.4559,0.0429,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94959,573258,131417,91336,0,0,0,0,0,0,0,816,0,0,0.0000,0.0000,0.0000,0.0200,0.0200,0.0000,0.2948,0.1291,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1209,0.0755,0.1355,0.0474,0.0857,0.0113,0.0743,0.1044,0.0036,0.1303,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,56.0,52.3,49.5,58.0,55.3,55.2,54.4,56.1,60.1,52.0
2026-10-01,1.0315,1.0110,1.0045,1.0023,1.0026,1.0093,1.0029,1.0021,1.0029,1.0097,1.0040,0.9995,1.1998,1.0818,1.0519,1.0367,1.0450,1.0797,1.0113,1.0071,1.0369,1.0209,1.0189,0.9995,3396.87,5078.14,4031.11,2537.78,1903.69,1064.59,207.83,2579.19,1643.84,533.08,1.2048,0.6532,1.0730,1.4840,1.0533,0.5812,1.2063,0.2014,0.2501,0.3414,0.6461,0.6947,0.6342,0.5555,0.5270,0.7236,0.4905,0.6443,0.6699,0.6867,0.0111,0.0104,0.0251,0.0636,0.0733,0.0000,0.0564,0.0011,0.0103,0.0098,0.9800,0.9793,0.9902,0.8702,0.8483,1.0000,0.9696,1.0000,0.9740,1.0000,50.73,180.11,75.58,46.61,50.08,9.53,5.43,222.11,56.14,77.72,0.0000,0.0000,0.0000,0.1320,0.1582,0.0000,0.4551,0.0427,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94795,573422,131417,91336,0,0,0,0,0,0,0,980,0,0,0.0000,0.0000,0.0000,0.0300,0.0300,0.0000,0.3365,0.1455,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1251,0.0756,0.1356,0.0473,0.0855,0.0113,0.0740,0.1044,0.0035,0.1308,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,59.2,55.0,51.9,61.2,57.7,58.4,57.2,59.2,63.8,54.7
