seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
1,2,0,RUS>UKR@2031-11:contested-territory RUS>UKR@2039-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.908,1.342,2035-12-01,2038-10-01,2039-06-01,52,37,112
2,1,0,RUS>UKR@2031-02:contested-territory,0,,UKR@2034-02-01,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.911,1.267,2035-12-01,2038-10-01,2038-07-01,51,34,102
3,1,0,RUS>UKR@2031-09:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.911,1.330,2035-12-01,2038-10-01,2039-03-01,56,33,107
4,2,0,RUS>UKR@2031-12:contested-territory RUS>UKR@2039-02:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.915,1.211,2035-12-01,2038-11-01,2038-06-01,57,31,112
5,2,0,RUS>UKR@2030-12:contested-territory RUS>UKR@2037-04:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.923,1.265,2035-12-01,2038-10-01,2038-04-01,56,32,112
6,3,0,RUS>UKR@2031-04:contested-territory RUS>UKR@2037-08:contested-territory RUS>UKR@2043-06:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.896,1.289,2035-12-01,2038-09-01,2038-06-01,61,33,102
7,2,0,RUS>UKR@2030-10:contested-territory RUS>UKR@2036-05:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,12,,0.890,1.179,2035-12-01,2038-10-01,2039-01-01,43,50,101
8,2,0,RUS>UKR@2031-12:contested-territory RUS>UKR@2038-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.919,1.218,2035-12-01,2038-10-01,2039-02-01,59,40,101
9,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,3,,0.868,1.309,2035-12-01,2038-10-01,2038-04-01,58,31,78
10,2,0,RUS>UKR@2031-08:contested-territory RUS>UKR@2038-03:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,2,12,,0.893,1.209,2035-12-01,2038-11-01,2038-06-01,54,33,100
11,2,0,RUS>UKR@2032-09:contested-territory RUS>UKR@2039-07:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.916,1.153,2035-12-01,2038-10-01,2038-07-01,47,33,95
12,2,0,RUS>UKR@2033-07:contested-territory RUS>UKR@2040-08:contested-territory,0,,,1,parliamentary,electoral-authoritarian,1,1,,0.890,1.335,2035-12-01,2038-09-01,2038-05-01,54,34,96
13,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.928,1.194,2035-12-01,2038-10-01,2038-12-01,49,41,75
14,2,0,RUS>UKR@2031-11:contested-territory RUS>UKR@2039-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.913,1.158,2035-12-01,2038-10-01,2038-06-01,52,34,97
15,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.906,1.191,2035-12-01,2038-10-01,2038-08-01,57,37,72
16,2,0,RUS>UKR@2031-12:contested-territory RUS>UKR@2038-08:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.879,1.173,2035-12-01,2038-10-01,2039-02-01,47,36,106
17,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.912,1.262,2035-12-01,2038-09-01,2038-04-01,61,33,76
18,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.870,1.188,2035-12-01,2038-09-01,2038-09-01,55,31,73
19,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,10,,0.895,1.273,2035-12-01,2038-10-01,2039-01-01,57,35,74
20,3,0,RUS>UKR@2032-05:contested-territory RUS>UKR@2038-03:contested-territory RUS>UKR@2045-03:contested-territory,0,,,1,junta,electoral-authoritarian,3,4,,0.904,1.178,2035-12-01,2038-10-01,2038-06-01,50,38,106
21,1,0,RUS>UKR@2032-01:contested-territory,0,,,1,electoral-authoritarian,parliamentary,1,11,,0.887,1.168,2035-12-01,2038-10-01,2038-07-01,48,36,107
22,3,0,RUS>UKR@2031-11:contested-territory RUS>UKR@2037-11:contested-territory RUS>UKR@2043-07:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.933,1.205,2035-12-01,2038-10-01,2038-08-01,60,37,129
23,1,0,RUS>UKR@2032-10:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,13,,0.890,1.172,2035-12-01,2038-10-01,2038-08-01,46,30,118
24,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.912,1.296,2035-12-01,2038-10-01,2038-04-01,56,34,106
25,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.896,1.184,2035-12-01,2038-10-01,2039-02-01,50,36,99
26,2,0,RUS>UKR@2033-01:contested-territory RUS>UKR@2040-05:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,5,,0.907,1.272,2035-12-01,2038-10-01,2038-06-01,52,35,105
27,2,0,RUS>UKR@2030-10:contested-territory RUS>UKR@2036-10:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.905,1.205,2035-12-01,2038-09-01,2038-07-01,60,35,102
28,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,1,,0.899,1.233,2035-12-01,2038-10-01,2038-08-01,54,37,79
29,2,0,RUS>UKR@2037-08:contested-territory RUS>UKR@2043-07:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,2,4,,0.908,1.238,2035-12-01,2038-10-01,2038-07-01,53,36,103
30,2,0,RUS>UKR@2033-03:contested-territory RUS>UKR@2038-11:contested-territory,0,,,1,junta,electoral-authoritarian,1,5,,0.927,1.307,2035-12-01,2038-10-01,2039-06-01,59,39,101
