seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
1,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,8,,0.885,1.342,2035-12-01,2038-10-01,2039-04-01,55,40,133
2,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.888,1.267,2035-12-01,2038-09-01,2038-08-01,52,32,132
3,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.895,1.332,2035-12-01,2038-10-01,2039-01-01,57,38,126
4,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,7,,0.886,1.211,2036-01-01,2038-11-01,2038-02-01,60,30,136
5,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.898,1.265,2035-12-01,2038-10-01,2038-04-01,59,39,129
6,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.897,1.289,2035-12-01,2038-09-01,2038-06-01,59,41,132
7,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.923,1.179,2035-12-01,2038-10-01,2039-02-01,45,36,129
8,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.919,1.218,2035-12-01,2038-10-01,2039-03-01,56,45,137
9,0,0,,0,,,1,electoral-authoritarian,parliamentary,1,2,,0.894,1.309,2035-12-01,2038-09-01,2038-05-01,60,38,130
10,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,7,,0.916,1.209,2035-12-01,2038-11-01,2038-06-01,56,37,138
11,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.894,1.153,2035-12-01,2038-09-01,2038-07-01,49,34,139
12,0,0,,0,,,1,parliamentary,electoral-authoritarian,1,1,,0.867,1.335,2035-12-01,2038-09-01,2038-04-01,53,37,144
13,0,0,,0,,,1,electoral-authoritarian,junta,2,0,,0.902,1.194,2035-12-01,2038-10-01,2039-02-01,52,44,124
14,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.922,1.158,2035-12-01,2038-09-01,2038-07-01,54,33,122
15,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.916,1.191,2035-12-01,2038-09-01,2038-07-01,61,32,118
16,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.858,1.173,2035-12-01,2038-10-01,2039-02-01,52,40,134
17,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.906,1.262,2035-12-01,2038-09-01,2038-04-01,62,36,131
18,0,0,,0,,,1,junta,electoral-authoritarian,1,4,,0.926,1.188,2035-12-01,2038-09-01,2038-08-01,54,36,132
19,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,8,,0.912,1.273,2035-12-01,2038-10-01,2039-01-01,58,36,134
20,0,0,,0,,,1,parliamentary,electoral-authoritarian,1,0,,0.915,1.178,2035-12-01,2038-10-01,2038-06-01,49,32,143
21,0,0,,0,,,1,electoral-authoritarian,parliamentary,1,6,,0.905,1.168,2035-12-01,2038-09-01,2038-07-01,47,41,130
22,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.914,1.205,2035-12-01,2038-10-01,2038-07-01,56,35,146
23,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,8,,0.909,1.172,2035-12-01,2038-10-01,2038-08-01,49,40,141
24,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.884,1.296,2035-12-01,2038-10-01,2038-05-01,57,37,149
25,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,5,,0.889,1.184,2035-12-01,2038-10-01,2039-01-01,54,39,140
26,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.884,1.272,2035-12-01,2038-10-01,2038-04-01,53,33,138
27,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.917,1.205,2035-12-01,2038-09-01,2038-08-01,63,38,132
28,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.890,1.233,2035-12-01,2038-09-01,2038-07-01,55,38,145
29,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.900,1.238,2035-12-01,2038-09-01,2038-08-01,57,35,146
30,0,0,,0,,,1,parliamentary,electoral-authoritarian,1,1,,0.918,1.307,2035-12-01,2038-10-01,2039-03-01,57,43,148
31,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.888,1.143,2036-01-01,2038-09-01,2038-06-01,54,31,168
32,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.929,1.186,2035-12-01,2038-10-01,2039-04-01,49,38,172
33,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.890,1.339,2035-12-01,2038-09-01,2038-09-01,59,30,150
34,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.877,1.219,2035-12-01,2038-10-01,2038-04-01,61,33,192
35,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.903,1.177,2035-12-01,2038-10-01,2038-09-01,51,32,193
36,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.891,1.308,2035-12-01,2038-09-01,2038-09-01,53,31,200
37,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.921,1.219,2035-12-01,2038-10-01,2039-05-01,59,42,169
38,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,0,,0.898,1.245,2035-12-01,2038-11-01,2038-04-01,48,34,154
39,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.908,1.196,2035-12-01,2038-10-01,2038-05-01,56,35,180
40,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.907,1.171,2035-12-01,2038-10-01,2038-07-01,58,38,154
41,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.898,1.119,2035-12-01,2038-10-01,2038-04-01,52,32,154
42,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,5,,0.893,1.376,2035-12-01,2038-10-01,2039-02-01,61,42,150
43,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.912,1.183,2035-12-01,2038-10-01,2038-04-01,56,39,115
44,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.891,1.325,2035-12-01,2038-10-01,2039-02-01,49,36,119
45,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.857,1.325,2035-12-01,2038-10-01,2039-02-01,53,37,123
46,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.924,1.213,2035-12-01,2038-10-01,2038-07-01,71,33,126
47,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.866,1.190,2036-01-01,2038-11-01,2037-10-01,48,36,131
48,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.874,1.174,2035-12-01,2038-10-01,2039-02-01,56,40,131
