date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0742,0.1337,0.0486,0.0868,0.0115,0.0806,0.1082,0.0016,0.1382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0737,1.0272,1.0377,1.0397,1.0268,1.0569,1.0247,1.0247,1.0417,1.0274,1.0247,1.0000,3364.30,5046.79,4013.77,2549.10,1912.63,1036.26,212.89,2560.11,1598.58,531.66,1.1713,0.6306,1.0244,1.3776,1.0032,0.5893,1.0960,0.1745,0.2351,0.4346,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0139,0.0114,0.0296,0.0205,0.0185,0.0000,0.0278,0.0025,0.0136,0.0141,0.9793,0.9788,0.9899,0.9779,0.9796,1.0000,0.9876,1.0000,0.9729,1.0000,51.01,181.68,76.61,51.95,59.59,9.30,4.26,233.40,55.90,79.13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.0438,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0734,0.1333,0.0479,0.0862,0.0115,0.0720,0.1042,0.0015,0.1355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.3,32.9,27.5,33.6,33.3,33.1,30.0,33.3,33.8,32.9
2026-03-01,1.0023,1.0006,1.0010,0.9983,0.9993,1.0005,1.0013,1.0002,1.0011,1.0035,1.0012,0.9984,1.1416,1.0294,1.0678,0.9983,1.0256,1.0572,1.0116,1.0019,1.0155,1.0493,1.0131,0.9984,3361.89,5058.64,4010.71,2549.62,1913.77,1041.63,211.80,2567.06,1600.80,532.55,1.1758,0.6308,1.0282,1.3819,1.0047,0.5871,1.1031,0.1766,0.2349,0.4192,0.6579,0.6933,0.6817,0.5999,0.6773,0.7021,0.5961,0.6510,0.6486,0.7135,0.0172,0.0142,0.0145,0.0209,0.0215,0.0025,0.0854,0.0015,0.0138,0.0110,0.9793,0.9787,0.9899,0.9779,0.9797,1.0000,0.9676,1.0000,0.9729,1.0000,50.25,181.92,75.73,52.44,59.96,9.14,5.83,233.28,55.78,78.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4605,0.0439,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1056,0.0678,0.1187,0.0427,0.0762,0.0114,0.0677,0.1023,0.0014,0.1320,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.6,35.6,30.2,37.0,36.6,36.2,32.6,36.4,37.3,35.7
2026-04-01,1.0067,1.0010,1.0034,0.9961,0.9989,1.0024,1.0021,0.9983,1.0000,1.0024,0.9978,0.9992,1.1553,1.0282,1.1099,0.9961,1.0249,1.0576,1.0192,0.9999,1.0138,1.0032,0.9994,0.9998,3354.05,5053.92,4014.45,2542.52,1915.78,1044.11,210.71,2564.66,1610.59,531.74,1.1819,0.6329,1.0300,1.3920,1.0058,0.5839,1.1103,0.1792,0.2335,0.4052,0.6432,0.7128,0.6605,0.5973,0.6519,0.7399,0.5346,0.6552,0.6324,0.7195,0.0202,0.0158,0.0173,0.0238,0.0245,0.0032,0.0834,0.0011,0.0153,0.0116,0.9806,0.9800,0.9905,0.9793,0.9810,1.0000,0.9680,1.0000,0.9747,1.0000,50.10,181.46,74.98,52.26,59.80,9.01,5.81,233.40,55.72,78.34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4580,0.0410,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0300,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1178,0.0731,0.1329,0.0480,0.0856,0.0112,0.0702,0.1035,0.0014,0.1329,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.830,0.800,0.500,0.500,0.800,39.8,38.4,32.7,40.3,39.8,29.5,34.9,39.6,40.8,38.6
2026-05-01,1.0060,1.0012,1.0049,0.9942,0.9961,1.0066,1.0024,0.9966,1.0011,0.9981,0.9964,0.9990,1.0888,1.0299,1.0891,0.9942,1.0216,1.1140,1.0092,0.9982,1.0229,0.9981,0.9981,0.9990,3361.99,5052.58,4010.54,2548.87,1916.32,1046.41,209.43,2564.01,1617.29,531.30,1.1823,0.6347,1.0335,1.3925,1.0077,0.5805,1.1187,0.1818,0.2326,0.3908,0.6198,0.6849,0.6614,0.5929,0.6487,0.7424,0.4893,0.6496,0.6716,0.6936,0.0154,0.0127,0.0143,0.0202,0.0196,0.0006,0.0589,0.0014,0.0130,0.0107,0.9794,0.9787,0.9899,0.9780,0.9798,1.0000,0.9680,1.0000,0.9731,1.0000,49.96,181.02,74.37,51.80,59.22,9.02,5.63,231.81,55.95,79.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.0437,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1158,0.0722,0.1314,0.0471,0.0845,0.0108,0.0660,0.0998,0.0013,0.1329,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.850,0.820,0.850,0.500,0.500,0.800,42.9,41.1,35.2,43.7,53.0,32.7,37.0,47.8,44.5,41.3
2026-06-01,1.0062,1.0159,1.0064,0.9923,1.0188,1.0095,1.0022,0.9943,1.0010,0.9933,0.9959,0.9980,1.0895,1.3222,1.0848,1.0173,1.1277,1.0792,1.0159,0.9957,1.0175,0.9933,0.9979,0.9980,3371.26,5049.54,4007.08,2547.19,1914.20,1047.87,208.41,2559.06,1624.75,531.57,1.1818,0.6367,1.0366,1.3970,1.0111,0.5775,1.1259,0.1846,0.2316,0.3759,0.6350,0.6818,0.6419,0.6093,0.6078,0.7241,0.4593,0.6463,0.6723,0.6790,0.0465,0.0437,0.0396,0.0688,0.0682,0.0257,0.0615,0.0012,0.0427,0.0400,0.7517,0.7656,0.8749,0.7684,0.7527,0.8174,0.9462,1.0000,0.7668,1.0000,49.04,174.62,70.25,50.24,57.41,8.40,5.38,227.13,54.47,74.73,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4580,0.0436,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0500,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1106,0.0684,0.1245,0.0440,0.0800,0.0111,0.0718,0.1023,0.0016,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.840,0.810,0.840,0.500,0.500,0.800,46.1,43.8,37.6,47.1,55.8,35.9,38.8,50.9,48.3,43.9
2026-07-01,1.0071,1.0286,1.0078,0.9933,1.0370,1.0143,1.0023,0.9918,1.0026,0.9902,0.9970,0.9961,1.0913,1.3126,1.0864,1.0554,1.1347,1.1359,1.0257,0.9931,1.0562,0.9902,1.0492,0.9961,3359.52,5049.58,4006.88,2537.96,1912.68,1051.32,207.57,2559.98,1627.77,530.31,1.1885,0.6385,1.0387,1.4055,1.0142,0.5735,1.1321,0.1869,0.2312,0.3619,0.6362,0.6784,0.6183,0.5761,0.5739,0.6954,0.4607,0.6333,0.6546,0.6647,0.0463,0.0433,0.0499,0.0689,0.0658,0.0239,0.0651,0.0030,0.0462,0.0392,0.7723,0.7853,0.8857,0.7882,0.7732,0.8354,0.9494,1.0000,0.7878,1.0000,49.78,173.60,69.92,51.54,57.14,8.35,5.34,229.65,55.36,75.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4580,0.0436,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0600,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1035,0.0639,0.1151,0.0402,0.0737,0.0110,0.0713,0.1036,0.0017,0.1352,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.810,0.800,0.830,0.500,0.500,0.800,49.3,46.5,39.9,50.4,48.5,38.9,40.6,53.9,51.9,46.5
2026-08-01,1.0094,1.0377,1.0071,0.9933,1.0554,1.0139,1.0017,0.9917,1.0053,0.9888,0.9991,0.9937,1.1032,1.2484,1.0452,0.9965,1.1497,1.0705,1.0033,0.9931,1.0216,0.9888,1.0166,0.9937,3353.95,5042.30,3997.86,2527.82,1910.72,1053.56,206.88,2564.82,1633.41,530.75,1.1932,0.6412,1.0428,1.4184,1.0175,0.5702,1.1375,0.1889,0.2305,0.3527,0.6015,0.6724,0.6077,0.5234,0.5570,0.6958,0.4722,0.6325,0.6225,0.6245,0.0326,0.0296,0.0277,0.0465,0.0507,0.0159,0.0841,0.0013,0.0287,0.0339,0.8304,0.8412,0.9148,0.8446,0.8314,0.8861,0.9534,1.0000,0.8479,1.0000,51.02,180.53,72.77,51.82,59.96,8.47,5.53,238.26,57.51,77.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4574,0.0436,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0700,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1030,0.0662,0.1106,0.0379,0.0703,0.0112,0.0710,0.1052,0.0018,0.1355,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.820,0.500,0.500,0.800,52.3,49.1,42.2,53.4,51.1,41.9,42.5,56.9,55.4,48.9
2026-09-01,1.0116,1.0419,1.0041,1.0013,1.0692,1.0122,0.9998,0.9925,1.0062,0.9893,0.9973,0.9929,1.1051,1.1474,1.0419,1.0908,1.1494,1.0685,1.0163,1.0660,1.0891,1.0487,1.0101,0.9929,3372.05,5022.09,4005.10,2529.87,1909.26,1057.44,205.93,2567.70,1636.83,529.88,1.1892,0.6456,1.0424,1.4202,1.0206,0.5691,1.1445,0.1910,0.2301,0.3383,0.5981,0.6649,0.5980,0.5585,0.5623,0.6886,0.4722,0.6424,0.6349,0.6513,0.0248,0.0250,0.0417,0.0554,0.0404,0.0075,0.0887,0.0048,0.0214,0.0356,0.9138,0.9198,0.9565,0.9231,0.9152,0.9554,0.9603,1.0000,0.9282,1.0000,51.70,174.62,69.48,56.08,58.15,8.54,5.35,240.30,57.90,79.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4561,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0800,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1122,0.0680,0.1257,0.0414,0.0776,0.0111,0.0724,0.1051,0.0018,0.1398,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.810,0.500,0.500,0.800,55.3,51.7,44.4,56.5,53.8,44.9,44.4,60.0,58.8,51.5
2026-10-01,1.0103,1.0453,1.0005,1.0027,1.0745,1.0124,0.9990,0.9937,1.0087,0.9903,0.9998,0.9917,1.0890,1.1297,1.0364,1.0571,1.1252,1.0679,1.0004,0.9951,1.0332,0.9984,1.0384,0.9917,3359.77,5007.92,4010.26,2529.09,1908.20,1060.32,206.16,2567.92,1644.68,530.65,1.1996,0.6493,1.0426,1.4232,1.0235,0.5657,1.1489,0.1937,0.2291,0.3229,0.6349,0.6282,0.6194,0.5637,0.5724,0.7051,0.4538,0.6147,0.6213,0.6311,0.0184,0.0184,0.0322,0.0339,0.0275,0.0046,0.0598,0.0017,0.0162,0.0192,0.9322,0.9359,0.9659,0.9386,0.9342,0.9669,0.9641,1.0000,0.9409,1.0000,51.28,178.68,72.95,53.60,58.15,9.07,5.32,235.95,57.92,80.19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4612,0.0415,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0900,0.0900,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1138,0.0678,0.1218,0.0397,0.0750,0.0116,0.0713,0.1024,0.0018,0.1394,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.840,0.800,0.500,0.500,0.800,48.4,54.1,46.7,59.7,56.5,38.0,46.3,62.9,62.2,53.9
