seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
1,1,0,RUS>UKR@2031-03:grievance,0,,,1,parliamentary,electoral-authoritarian,3,5,,0.911,1.196,2036-01-01,2038-09-01,2038-07-01,47,35,49
2,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.919,1.191,2036-01-01,2038-09-01,2039-03-01,46,41,41
3,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.919,1.208,2036-01-01,2038-09-01,2038-06-01,46,33,38
4,1,0,RUS>UKR@2032-12:grievance,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.906,1.212,2036-01-01,2038-08-01,2038-05-01,50,35,51
5,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.836,1.246,2036-01-01,2038-09-01,2038-04-01,53,41,39
6,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.930,1.215,2036-01-01,2038-09-01,2038-07-01,42,30,41
7,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.924,1.248,2036-01-01,2038-09-01,2038-06-01,53,35,44
8,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.914,1.203,2036-01-01,2038-09-01,2038-12-01,53,35,43
9,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.858,1.193,2036-01-01,2038-09-01,2038-08-01,51,31,43
10,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.907,1.137,2036-01-01,2038-09-01,2038-06-01,49,36,43
11,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.892,1.300,2036-01-01,2038-08-01,2040-03-01,48,44,33
12,1,0,RUS>UKR@2031-04:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.906,1.218,2036-01-01,2038-09-01,2039-01-01,51,40,42
13,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.905,1.271,2036-01-01,2038-09-01,2038-07-01,57,31,36
14,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.927,1.138,2036-01-01,2038-09-01,2038-08-01,47,33,32
15,0,0,,0,,,1,electoral-authoritarian,junta,1,1,,0.906,1.381,2036-01-01,2038-09-01,2038-05-01,52,39,37
16,1,0,RUS>UKR@2031-03:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,1,4,,0.909,1.234,2036-01-01,2038-09-01,2039-04-01,50,37,40
17,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.916,1.256,2036-01-01,2038-09-01,2038-08-01,50,39,33
18,1,0,RUS>UKR@2031-03:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,3,0,,0.910,1.465,2036-01-01,2038-08-01,2040-04-01,56,44,40
