seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
1,9,0,SOM>SOL@2029-01:contested-territory RUS>UKR@2032-01:contested-territory PAK>AFG@2032-08:grievance MLI>BFA@2035-04:grievance RUS>UKR@2037-08:contested-territory ISR>SYR@2041-08:grievance YEH>YEM@2045-08:grievance ISR>PSE@2048-07:contested-territory PAK>IND@2061-03:contested-territory,0,,VEN@2063-02-01,1,electoral-authoritarian,electoral-authoritarian,37,80,CUB@2031-02-01 UKR@2035-02-01,0.673,1.421,2035-12-01,2039-03-01,2039-02-01,229,53,395
2,12,0,SYR>RJV@2026-09:contested-territory SOM>SOL@2027-10:contested-territory SYR>RJV@2032-03:contested-territory RUS>UKR@2032-11:contested-territory SYR>RJV@2037-11:contested-territory RUS>UKR@2039-04:contested-territory COD>M23@2039-06:grievance SYR>RJV@2043-08:contested-territory YEH>YEM@2045-11:grievance SDN>SDR@2052-10:grievance HND>NIC@2055-08:grievance COD>M23@2059-09:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,32,49,CUB@2031-01-01 UKR@2036-04-01,0.684,1.534,2035-11-01,2039-03-01,2038-07-01,293,46,399
3,10,0,ISR>PSE@2026-11:grievance SOM>SOL@2026-12:contested-territory RUS>UKR@2031-07:contested-territory PAK>AFG@2031-11:grievance YEH>YEM@2032-01:grievance SDN>SDR@2032-06:grievance LBE>LBY@2032-08:grievance RUS>UKR@2037-10:contested-territory COD>M23@2038-05:grievance COD>M23@2057-02:grievance,0,,UKR@2027-01-01,1,parliamentary,electoral-authoritarian,33,75,CUB@2031-01-01,0.698,1.352,2035-12-01,2039-03-01,2039-01-01,180,46,359
4,12,0,SOM>SOL@2029-06:contested-territory RUS>UKR@2031-06:contested-territory SDN>SDR@2031-08:grievance LBE>LBY@2031-11:grievance YEH>YEM@2033-11:grievance IND>PAK@2034-09:contested-territory RUS>UKR@2036-11:contested-territory SDN>SDR@2039-08:grievance IND>PAK@2049-05:contested-territory COD>M23@2050-03:grievance COD>M23@2062-10:grievance IND>PAK@2068-01:contested-territory,0,,UKR@2033-11-01 VEN@2044-02-01,1,electoral-authoritarian,electoral-authoritarian,40,58,CUB@2031-09-01,0.702,1.369,2035-12-01,2039-03-01,2038-07-01,221,54,418
5,11,1,SOM>SOL@2030-04:contested-territory RUS>UKR@2031-01:contested-territory RUS>UKR@2036-02:contested-territory YEH>YEM@2041-11:grievance SDN>SDR@2046-12:grievance YEM>YEH@2048-03:contested-territory IND>PAK@2050-01:contested-territory COD>M23@2051-03:grievance IND>PAK@2065-01:contested-territory COD>M23@2067-11:grievance IND>BGD@2071-08:none,1,IND>PAK@2075-04:3,,1,electoral-authoritarian,electoral-authoritarian,37,76,IND@2075-05-01,0.708,1.677,2035-12-01,2039-03-01,2038-08-01,217,57,436
6,11,1,SOM>SOL@2029-11:contested-territory RUS>UKR@2031-05:contested-territory YEH>YEM@2032-07:none COD>M23@2034-07:grievance SDN>SDR@2034-12:grievance RUS>UKR@2037-01:contested-territory ISR>PSE@2042-04:grievance IND>PAK@2049-11:contested-territory IND>PAK@2058-01:contested-territory COD>M23@2063-08:grievance IND>PAK@2066-07:contested-territory,0,,VEN@2030-10-01,1,electoral-authoritarian,electoral-authoritarian,37,84,CUB@2031-05-01 UKR@2034-03-01,0.707,1.353,2035-12-01,2039-03-01,2038-08-01,217,61,406
7,10,1,SOM>SOL@2029-07:contested-territory RUS>UKR@2032-05:contested-territory LBE>LBY@2034-02:grievance SDN>SDR@2034-11:grievance YEH>YEM@2037-10:none RUS>UKR@2037-12:contested-territory ISR>SYR@2038-12:grievance SOM>SOL@2044-08:grievance ISR>PSE@2045-03:contested-territory COD>M23@2049-10:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,36,70,CUB@2031-01-01 UKR@2036-01-01,0.692,1.385,2035-12-01,2038-07-01,2038-09-01,262,53,360
8,14,2,ISR>PSE@2028-08:grievance SDN>SDR@2031-07:none SOM>SOL@2031-10:contested-territory RUS>UKR@2032-09:contested-territory ETH>SDN@2034-12:none IND>PAK@2035-04:contested-territory RUS>UKR@2038-06:contested-territory SDN>SDR@2040-04:grievance ETH>KEN@2040-04:contested-territory ISR>PSE@2042-03:grievance YEH>YEM@2045-07:grievance SOM>SOL@2048-05:grievance IND>PAK@2050-05:contested-territory ISR>LBN@2059-12:grievance,0,,UKR@2034-12-01,1,electoral-authoritarian,electoral-authoritarian,28,72,UKR@2035-01-01,0.683,1.357,2035-12-01,2039-03-01,2038-08-01,214,65,403
9,9,0,SOM>SOL@2028-08:contested-territory RUS>UKR@2033-04:contested-territory YEH>YEM@2034-06:grievance SDN>SDR@2038-01:grievance RUS>UKR@2038-10:contested-territory SDN>SDR@2044-01:grievance RUS>UKR@2044-02:contested-territory COD>M23@2045-05:grievance DZA>MLI@2074-06:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,36,89,CUB@2031-01-01,0.687,1.545,2035-12-01,2039-03-01,2038-07-01,313,48,354
10,13,1,SOM>SOL@2028-07:contested-territory RUS>UKR@2031-05:contested-territory SDN>SDR@2031-07:contested-territory SOM>SOL@2033-11:none RUS>UKR@2036-07:contested-territory ETH>SOM@2038-06:grievance SDN>SDR@2038-09:grievance DZA>MLI@2038-12:grievance ETH>SOM@2043-08:grievance DZA>MLI@2047-06:grievance SDN>SDR@2052-07:grievance YEH>YEM@2053-12:grievance COD>M23@2055-07:grievance,0,,UKR@2027-10-01,1,electoral-authoritarian,electoral-authoritarian,28,43,CUB@2031-01-01 SOM@2034-05-01,0.697,1.388,2035-12-01,2039-03-01,2038-10-01,160,51,382
