date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0001,1.0298,1.0000,1.0000,1.0170,1.0170,1.0221,1.0232,1.0170,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6673,0.6748,0.6750,0.7200,0.0019,0.0004,0.0179,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53.01,188.04,79.00,54.35,61.58,9.29,7.94,244.34,57.59,79.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0741,0.1337,0.0482,0.0865,0.0115,0.0806,0.1079,0.0015,0.1360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,60.0,30.0,30.0,30.0
2026-02-01,1.0023,1.0009,1.0003,1.0003,1.0004,1.0015,1.0009,1.0008,1.0010,1.0028,1.0010,1.0000,1.1088,1.0290,1.0364,1.0391,1.0267,1.0569,1.0225,1.0181,1.0243,1.0645,1.0263,1.0000,3368.63,5053.24,4005.35,2552.71,1909.20,1038.03,212.51,2562.02,1601.63,531.03,1.1624,0.6298,1.0256,1.3745,1.0050,0.5880,1.0979,0.1742,0.2346,0.4365,0.6537,0.7099,0.6632,0.6243,0.6634,0.7139,0.5946,0.6881,0.6473,0.7041,0.0141,0.0119,0.0289,0.0202,0.0184,0.0010,0.0862,0.0021,0.0129,0.0129,0.9798,0.9792,0.9901,0.9786,0.9803,0.9993,0.9677,1.0000,0.9739,1.0000,50.98,183.29,78.89,51.73,59.02,9.25,5.70,235.31,55.88,78.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4587,0.0413,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95695,572522,131417,91336,0,0,0,0,0,0,0,80,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0164,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0735,0.1337,0.0479,0.0865,0.0116,0.0716,0.1032,0.0015,0.1336,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.1,32.7,32.5,33.5,33.3,32.5,62.6,33.1,33.2,32.6
2026-03-01,1.0046,1.0017,1.0005,1.0005,1.0007,1.0025,1.0013,1.0011,1.0014,1.0046,1.0016,1.0000,1.0962,1.0292,1.0371,1.0379,1.0272,1.0580,1.0131,1.0079,1.0149,1.0516,1.0191,1.0000,3371.06,5055.66,4007.98,2553.85,1911.77,1040.97,211.20,2562.98,1606.16,531.29,1.1649,0.6309,1.0280,1.3779,1.0056,0.5844,1.1060,0.1764,0.2340,0.4228,0.6453,0.7128,0.6596,0.6153,0.6504,0.7139,0.5317,0.6642,0.6299,0.6997,0.0119,0.0107,0.0266,0.0187,0.0164,0.0001,0.0842,0.0014,0.0118,0.0112,0.9803,0.9798,0.9904,0.9790,0.9806,1.0000,0.9679,1.0000,0.9742,1.0000,51.40,184.33,79.56,52.13,59.55,9.35,5.69,237.00,56.23,78.53,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0418,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95578,572639,131417,91336,0,0,0,0,0,0,0,197,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0768,0.0312,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0736,0.1337,0.0480,0.0864,0.0116,0.0716,0.1033,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.1,35.3,34.9,36.8,36.2,35.4,64.8,36.1,36.5,35.1
2026-04-01,1.0067,1.0025,1.0008,1.0007,1.0012,1.0032,1.0015,1.0012,1.0016,1.0062,1.0020,1.0000,1.0975,1.0302,1.0377,1.0372,1.0275,1.0587,1.0063,1.0027,1.0152,1.0389,1.0125,1.0001,3373.57,5058.21,4011.02,2555.07,1914.38,1044.68,210.18,2564.05,1611.86,531.58,1.1671,0.6321,1.0306,1.3810,1.0062,0.5799,1.1128,0.1786,0.2333,0.4090,0.6492,0.7129,0.6567,0.6059,0.6527,0.7189,0.4922,0.6541,0.6315,0.6888,0.0113,0.0106,0.0256,0.0184,0.0159,0.0000,0.0825,0.0012,0.0119,0.0103,0.9801,0.9795,0.9903,0.9788,0.9804,1.0000,0.9680,1.0000,0.9739,1.0000,51.53,184.86,79.97,52.41,59.79,9.42,5.69,237.37,56.46,78.93,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0423,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95441,572776,131417,91336,0,0,0,0,0,0,0,334,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1160,0.0465,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0737,0.1337,0.0481,0.0865,0.0117,0.0717,0.1030,0.0015,0.1339,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.0,37.9,37.4,39.9,39.1,39.0,66.8,39.0,40.4,37.6
2026-05-01,1.0084,1.0030,1.0009,1.0008,1.0016,1.0036,1.0016,1.0012,1.0016,1.0073,1.0023,1.0001,1.0949,1.0312,1.0382,1.0366,1.0277,1.0592,1.0032,1.0027,1.0153,1.0307,1.0084,1.0001,3376.75,5060.81,4014.02,2556.34,1917.01,1047.67,209.23,2565.42,1616.43,531.96,1.1694,0.6332,1.0331,1.3839,1.0068,0.5763,1.1198,0.1813,0.2327,0.3919,0.6484,0.7073,0.6547,0.6023,0.6499,0.7165,0.4637,0.6500,0.6405,0.6866,0.0112,0.0106,0.0253,0.0181,0.0158,0.0000,0.0676,0.0012,0.0119,0.0100,0.9799,0.9792,0.9902,0.9785,0.9802,1.0000,0.9681,1.0000,0.9737,1.0000,51.47,185.00,80.13,52.46,59.76,9.47,5.66,236.92,56.58,79.15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4596,0.0428,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95262,572955,131417,91336,0,0,0,0,0,0,0,513,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1723,0.0668,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0482,0.0865,0.0117,0.0717,0.1028,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,42.8,40.5,39.9,43.0,42.0,41.9,69.0,42.6,43.6,40.7
2026-06-01,1.0099,1.0035,1.0010,1.0009,1.0019,1.0038,1.0016,1.0011,1.0016,1.0080,1.0024,1.0001,1.0937,1.0318,1.0386,1.0359,1.0274,1.0592,1.0032,1.0026,1.0152,1.0239,1.0051,1.0001,3379.31,5064.11,4017.17,2558.00,1920.31,1051.41,208.65,2566.53,1621.01,532.29,1.1710,0.6347,1.0356,1.3871,1.0076,0.5718,1.1245,0.1835,0.2321,0.3781,0.6421,0.7106,0.6535,0.6076,0.6498,0.7149,0.4609,0.6818,0.6430,0.6860,0.0111,0.0105,0.0250,0.0177,0.0156,0.0000,0.0604,0.0011,0.0119,0.0096,0.9798,0.9792,0.9901,0.9785,0.9802,1.0000,0.9683,1.0000,0.9736,1.0000,51.41,185.12,80.25,52.50,59.74,9.51,5.66,236.48,56.61,79.31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4577,0.0429,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95059,573158,131417,91336,0,0,0,0,0,0,0,716,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2165,0.0825,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0483,0.0865,0.0117,0.0717,0.1025,0.0016,0.1342,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,45.7,43.8,42.4,47.0,45.6,45.5,70.7,45.6,46.8,43.1
2026-07-01,1.0110,1.0039,1.0012,1.0010,1.0022,1.0038,1.0016,1.0010,1.0015,1.0084,1.0025,1.0001,1.0949,1.0323,1.0389,1.0355,1.0277,1.0593,1.0031,1.0026,1.0152,1.0172,1.0040,1.0001,3381.89,5066.79,4020.24,2559.36,1922.96,1054.42,208.16,2567.63,1626.77,532.64,1.1723,0.6358,1.0381,1.3894,1.0082,0.5683,1.1286,0.1856,0.2314,0.3643,0.6451,0.7029,0.6526,0.6137,0.6532,0.7121,0.4657,0.6604,0.6353,0.6886,0.0111,0.0105,0.0249,0.0175,0.0156,0.0000,0.0600,0.0011,0.0120,0.0095,0.9797,0.9790,0.9901,0.9783,0.9800,1.0000,0.9684,1.0000,0.9734,1.0000,51.37,185.22,80.35,52.54,59.74,9.54,5.64,236.23,56.72,79.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4579,0.0432,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94848,573369,131417,91336,0,0,0,0,0,0,0,927,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2599,0.0979,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1338,0.0484,0.0865,0.0117,0.0717,0.1024,0.0016,0.1343,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,48.7,46.4,44.8,50.2,48.5,48.3,72.5,48.7,50.9,45.6
2026-08-01,1.0119,1.0041,1.0012,1.0010,1.0025,1.0038,1.0015,1.0009,1.0014,1.0087,1.0024,0.9999,1.0958,1.0326,1.0391,1.0324,1.0277,1.0592,1.0030,1.0025,1.0150,1.0127,1.0039,0.9999,3386.00,5072.07,4022.05,2560.73,1925.22,1057.43,207.62,2569.03,1631.96,533.09,1.1733,0.6370,1.0410,1.3920,1.0089,0.5648,1.1335,0.1883,0.2308,0.3471,0.6352,0.7052,0.6512,0.6161,0.6452,0.7142,0.4699,0.6552,0.6567,0.6775,0.0111,0.0105,0.0248,0.0174,0.0155,0.0000,0.0594,0.0010,0.0106,0.0094,0.9796,0.9790,0.9901,0.9783,0.9800,1.0000,0.9686,1.0000,0.9734,1.0000,51.35,185.29,80.40,52.53,59.73,9.57,5.64,236.06,56.73,79.60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4561,0.0432,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94583,573634,131417,91336,0,0,0,0,0,0,0,1192,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3132,0.1166,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1213,0.0768,0.1316,0.0475,0.0851,0.0116,0.0709,0.1023,0.0038,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.3,49.6,47.3,54.2,51.4,51.2,74.6,52.3,54.2,48.7
2026-09-01,1.0126,1.0043,1.0013,1.0010,1.0024,1.0037,1.0013,1.0008,1.0014,1.0087,1.0022,0.9997,1.0964,1.0329,1.0393,1.0322,1.0274,1.0588,1.0029,1.0024,1.0149,1.0097,1.0038,0.9997,3391.12,5076.75,4023.88,2561.83,1928.07,1061.18,207.23,2570.17,1637.14,533.46,1.1732,0.6378,1.0440,1.3938,1.0099,0.5605,1.1372,0.1905,0.2301,0.3333,0.6298,0.7003,0.6494,0.6134,0.6448,0.7210,0.4721,0.6427,0.6492,0.6798,0.0111,0.0105,0.0247,0.0173,0.0155,0.0000,0.0591,0.0010,0.0106,0.0093,0.9796,0.9789,0.9900,0.9782,0.9800,1.0000,0.9686,1.0000,0.9733,1.0000,51.36,185.39,80.45,52.59,59.73,9.59,5.62,235.97,56.88,79.71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4562,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94285,573932,131417,91336,0,0,0,0,0,0,0,1490,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3553,0.1311,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1255,0.0768,0.1316,0.0475,0.0850,0.0115,0.0707,0.1022,0.0036,0.1345,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,55.2,52.1,49.8,57.4,55.0,54.8,76.4,55.2,57.5,51.1
2026-10-01,1.0131,1.0044,1.0014,1.0010,1.0024,1.0035,1.0012,1.0008,1.0013,1.0087,1.0019,0.9994,1.0967,1.0330,1.0393,1.0321,1.0271,1.0584,1.0028,1.0023,1.0148,1.0097,1.0035,0.9994,3396.45,5081.21,4025.34,2563.54,1931.08,1064.18,206.86,2571.35,1643.58,533.94,1.1727,0.6388,1.0469,1.3951,1.0103,0.5570,1.1407,0.1926,0.2293,0.3160,0.6426,0.6995,0.6479,0.6085,0.6453,0.7174,0.4772,0.6362,0.6726,0.6862,0.0111,0.0105,0.0247,0.0171,0.0154,0.0000,0.0588,0.0010,0.0106,0.0092,0.9796,0.9789,0.9900,0.9783,0.9800,1.0000,0.9687,1.0000,0.9733,1.0000,51.40,185.49,80.45,52.49,59.69,9.62,5.61,235.92,57.05,79.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4554,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,93967,574250,131417,91336,0,0,0,0,0,0,0,1808,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3969,0.1453,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1247,0.0763,0.1308,0.0509,0.0884,0.0115,0.0707,0.1021,0.0035,0.1346,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,58.1,54.7,52.3,60.6,57.9,57.7,78.2,58.1,61.7,54.2
