date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0001,1.0298,1.0000,1.0000,1.0170,1.0170,1.0221,1.0232,1.0170,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0019,0.0004,0.0179,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53.01,188.04,79.00,54.35,61.58,9.29,7.94,244.34,57.59,79.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0741,0.1337,0.0482,0.0865,0.0115,0.0806,0.1079,0.0015,0.1360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-01,1.0023,1.0009,1.0003,1.0003,1.0004,1.0015,1.0009,1.0008,1.0010,1.0028,1.0009,1.0000,1.1083,1.0286,1.0364,1.0390,1.0272,1.0569,1.0223,1.0179,1.0246,1.0645,1.0261,1.0000,3366.47,5051.44,4003.25,2551.93,1907.62,1037.20,212.50,2562.01,1601.37,531.00,1.1601,0.6291,1.0236,1.3723,1.0044,0.5880,1.0979,0.1742,0.2347,0.4361,0.6589,0.7159,0.6654,0.6286,0.6676,0.7191,0.5993,0.6767,0.6677,0.7071,0.0141,0.0118,0.0289,0.0201,0.0184,0.0010,0.0866,0.0021,0.0128,0.0130,0.9801,0.9795,0.9903,0.9789,0.9805,0.9996,0.9677,1.0000,0.9742,1.0000,50.93,182.19,76.53,51.76,59.46,9.21,5.75,235.61,56.01,78.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4587,0.0413,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,0.0092,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0735,0.1337,0.0479,0.0865,0.0116,0.0716,0.1032,0.0015,0.1336,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.2,30.4,30.6,31.2,31.5,31.7,62.6,33.0,33.1,32.6
2026-03-01,1.0045,1.0017,1.0005,1.0005,1.0008,1.0025,1.0013,1.0011,1.0014,1.0046,1.0016,1.0000,1.0960,1.0292,1.0371,1.0379,1.0277,1.0579,1.0130,1.0079,1.0150,1.0516,1.0190,1.0000,3368.98,5053.92,4006.02,2553.12,1910.37,1040.36,211.19,2562.97,1606.24,531.29,1.1632,0.6304,1.0261,1.3762,1.0051,0.5841,1.1060,0.1764,0.2340,0.4214,0.6531,0.7073,0.6545,0.6231,0.6628,0.7259,0.5421,0.6707,0.6587,0.6978,0.0120,0.0107,0.0267,0.0187,0.0164,0.0001,0.0846,0.0014,0.0118,0.0113,0.9803,0.9797,0.9904,0.9790,0.9806,1.0000,0.9679,1.0000,0.9742,1.0000,51.33,183.19,77.16,52.15,60.00,9.31,5.74,237.30,56.34,78.73,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0418,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0184,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0736,0.1337,0.0480,0.0865,0.0116,0.0716,0.1033,0.0015,0.1337,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.4,33.2,33.1,34.7,34.6,34.9,64.9,36.1,36.7,35.3
2026-04-01,1.0067,1.0024,1.0007,1.0007,1.0012,1.0031,1.0015,1.0012,1.0016,1.0062,1.0020,1.0000,1.0976,1.0302,1.0376,1.0373,1.0280,1.0587,1.0062,1.0028,1.0153,1.0389,1.0124,1.0001,3371.64,5056.61,4008.95,2554.41,1913.16,1043.54,210.17,2564.03,1611.12,531.61,1.1659,0.6316,1.0283,1.3799,1.0057,0.5802,1.1129,0.1786,0.2334,0.4066,0.6500,0.7105,0.6413,0.6136,0.6583,0.7206,0.5000,0.6532,0.6634,0.6934,0.0113,0.0106,0.0258,0.0184,0.0159,0.0000,0.0832,0.0012,0.0119,0.0103,0.9801,0.9795,0.9903,0.9788,0.9804,1.0000,0.9680,1.0000,0.9739,1.0000,51.47,183.71,77.54,52.43,60.25,9.39,5.74,237.57,56.47,79.13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0423,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0276,0.0276,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0737,0.1337,0.0481,0.0865,0.0117,0.0716,0.1030,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.6,36.0,35.4,38.1,37.8,38.0,66.9,39.0,40.3,38.0
2026-05-01,1.0084,1.0030,1.0009,1.0008,1.0016,1.0035,1.0016,1.0012,1.0016,1.0073,1.0023,1.0001,1.0949,1.0312,1.0382,1.0366,1.0282,1.0591,1.0032,1.0028,1.0153,1.0307,1.0083,1.0001,3374.36,5059.36,4011.94,2555.77,1915.97,1046.74,209.21,2565.39,1616.01,531.95,1.1683,0.6328,1.0302,1.3832,1.0064,0.5764,1.1198,0.1813,0.2327,0.3919,0.6469,0.7047,0.6399,0.6087,0.6603,0.7219,0.4767,0.6581,0.6662,0.6880,0.0112,0.0106,0.0255,0.0181,0.0158,0.0000,0.0682,0.0012,0.0119,0.0099,0.9799,0.9792,0.9902,0.9785,0.9802,1.0000,0.9681,1.0000,0.9737,1.0000,51.41,183.85,77.69,52.47,60.21,9.43,5.71,237.17,56.69,79.38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4596,0.0428,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0391,0.0391,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0482,0.0865,0.0117,0.0717,0.1027,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.8,38.7,37.8,41.5,41.0,41.1,69.2,42.7,44.0,40.7
2026-06-01,1.0098,1.0035,1.0010,1.0009,1.0020,1.0037,1.0016,1.0011,1.0016,1.0080,1.0024,1.0001,1.0940,1.0318,1.0387,1.0360,1.0280,1.0594,1.0032,1.0027,1.0154,1.0239,1.0051,1.0001,3377.09,5062.17,4014.96,2557.18,1918.80,1049.94,208.63,2566.49,1620.92,532.31,1.1704,0.6340,1.0318,1.3862,1.0070,0.5726,1.1245,0.1835,0.2321,0.3771,0.6439,0.7033,0.6410,0.6117,0.6486,0.7209,0.4785,0.6389,0.6699,0.6856,0.0111,0.0106,0.0252,0.0178,0.0156,0.0000,0.0612,0.0011,0.0120,0.0096,0.9797,0.9791,0.9901,0.9784,0.9801,1.0000,0.9682,1.0000,0.9735,1.0000,51.34,183.94,77.79,52.50,60.19,9.47,5.69,236.74,56.70,79.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4597,0.0431,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0483,0.0483,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1190,0.0738,0.1338,0.0483,0.0865,0.0117,0.0717,0.1025,0.0016,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,43.0,41.5,40.2,44.9,44.1,44.2,71.0,45.6,47.7,43.3
2026-07-01,1.0109,1.0038,1.0011,1.0010,1.0023,1.0038,1.0016,1.0010,1.0015,1.0084,1.0024,1.0001,1.0950,1.0323,1.0389,1.0355,1.0282,1.0593,1.0032,1.0026,1.0153,1.0149,1.0040,1.0001,3379.84,5065.01,4018.02,2558.63,1921.63,1053.16,208.14,2567.58,1625.85,532.68,1.1721,0.6353,1.0332,1.3889,1.0076,0.5688,1.1286,0.1857,0.2315,0.3624,0.6411,0.7001,0.6358,0.6088,0.6584,0.7191,0.4884,0.6379,0.6841,0.6866,0.0111,0.0106,0.0251,0.0176,0.0156,0.0000,0.0603,0.0011,0.0120,0.0095,0.9796,0.9790,0.9901,0.9783,0.9800,1.0000,0.9684,1.0000,0.9734,1.0000,51.30,184.05,77.87,52.55,60.19,9.50,5.69,236.44,56.78,79.65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4579,0.0432,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0575,0.0575,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1190,0.0738,0.1338,0.0484,0.0865,0.0117,0.0717,0.1023,0.0016,0.1342,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,46.1,44.2,42.5,48.3,47.2,47.3,72.9,48.4,51.4,45.9
2026-08-01,1.0118,1.0041,1.0012,1.0010,1.0025,1.0037,1.0015,1.0009,1.0014,1.0085,1.0024,0.9998,1.0961,1.0327,1.0392,1.0322,1.0282,1.0592,1.0031,1.0025,1.0152,1.0111,1.0040,0.9998,3386.05,5067.89,4021.09,2559.55,1923.72,1056.38,207.60,2568.97,1630.80,533.06,1.1746,0.6365,1.0343,1.3916,1.0086,0.5650,1.1334,0.1883,0.2308,0.3476,0.6366,0.6927,0.6263,0.6117,0.6570,0.7232,0.4976,0.6508,0.6773,0.6911,0.0111,0.0105,0.0250,0.0173,0.0156,0.0000,0.0600,0.0011,0.0106,0.0094,0.9795,0.9789,0.9900,0.9782,0.9799,1.0000,0.9685,1.0000,0.9733,1.0000,51.28,184.14,77.94,52.57,60.17,9.53,5.67,236.24,56.90,79.83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4574,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,0.0690,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1201,0.0763,0.1346,0.0471,0.0842,0.0116,0.0708,0.1022,0.0037,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.4,46.9,44.9,51.7,50.4,50.4,75.2,52.0,55.2,48.6
2026-09-01,1.0125,1.0043,1.0013,1.0010,1.0024,1.0036,1.0013,1.0008,1.0014,1.0085,1.0022,0.9995,1.0964,1.0329,1.0392,1.0321,1.0279,1.0587,1.0029,1.0024,1.0150,1.0096,1.0039,0.9995,3391.35,5072.62,4024.22,2560.45,1925.88,1059.59,207.20,2570.11,1636.32,533.46,1.1746,0.6375,1.0352,1.3940,1.0096,0.5613,1.1371,0.1905,0.2301,0.3328,0.6369,0.6986,0.6360,0.6039,0.6506,0.7231,0.4988,0.6338,0.6690,0.6874,0.0111,0.0105,0.0249,0.0172,0.0155,0.0000,0.0595,0.0011,0.0106,0.0093,0.9795,0.9789,0.9900,0.9782,0.9799,1.0000,0.9686,1.0000,0.9733,1.0000,51.27,184.19,77.99,52.54,60.15,9.55,5.68,236.21,56.98,79.92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4562,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0782,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1238,0.0760,0.1341,0.0468,0.0839,0.0115,0.0707,0.1022,0.0035,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,55.5,49.6,47.2,55.1,53.5,53.5,77.1,54.8,58.8,51.3
2026-10-01,1.0129,1.0044,1.0014,1.0010,1.0024,1.0034,1.0012,1.0008,1.0013,1.0084,1.0020,0.9992,1.0967,1.0330,1.0393,1.0320,1.0277,1.0584,1.0028,1.0024,1.0150,1.0095,1.0036,0.9992,3397.05,5077.23,4027.80,2561.43,1928.17,1062.80,206.82,2571.29,1641.80,533.87,1.1741,0.6385,1.0359,1.3961,1.0105,0.5576,1.1407,0.1926,0.2294,0.3180,0.6376,0.7037,0.6383,0.6043,0.6491,0.7170,0.4999,0.6488,0.6589,0.6852,0.0111,0.0105,0.0249,0.0172,0.0154,0.0000,0.0593,0.0011,0.0106,0.0093,0.9795,0.9789,0.9900,0.9782,0.9800,1.0000,0.9687,1.0000,0.9733,1.0000,51.33,184.27,78.05,52.58,60.09,9.58,5.66,236.14,57.12,80.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4562,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0874,0.0874,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1251,0.0764,0.1355,0.0472,0.0887,0.0115,0.0706,0.1021,0.0034,0.1345,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,58.6,52.4,49.6,58.5,56.6,56.6,79.1,57.7,62.4,53.9
