date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0001,1.0298,1.0000,1.0000,1.0170,1.0170,1.0221,1.0232,1.0170,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6673,0.6748,0.6750,0.7200,0.0019,0.0004,0.0179,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53.01,188.04,79.00,54.35,61.58,9.29,7.94,244.34,57.59,79.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0741,0.1337,0.0482,0.0865,0.0115,0.0806,0.1079,0.0015,0.1360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,60.0,30.0,30.0,30.0
2026-02-01,1.0023,1.0009,1.0003,1.0003,1.0004,1.0015,1.0009,1.0008,1.0010,1.0028,1.0010,1.0000,1.1088,1.0290,1.0364,1.0391,1.0272,1.0569,1.0225,1.0181,1.0244,1.0645,1.0263,1.0000,3368.63,5053.23,4005.24,2552.81,1909.20,1038.03,212.50,2562.01,1601.63,531.03,1.1624,0.6298,1.0255,1.3746,1.0050,0.5880,1.0979,0.1742,0.2346,0.4365,0.6550,0.7110,0.6640,0.6285,0.6625,0.7103,0.5976,0.6761,0.6707,0.7073,0.0142,0.0119,0.0289,0.0202,0.0184,0.0010,0.0866,0.0021,0.0129,0.0130,0.9798,0.9792,0.9901,0.9786,0.9803,0.9993,0.9677,1.0000,0.9739,1.0000,50.94,182.21,76.55,51.77,59.48,9.22,5.75,235.62,56.00,78.32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4587,0.0413,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95698,572519,131417,91336,0,0,0,0,0,0,0,77,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0164,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0735,0.1337,0.0479,0.0865,0.0116,0.0716,0.1032,0.0015,0.1336,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.1,32.7,32.5,33.6,33.3,32.5,62.6,33.1,33.3,32.6
2026-03-01,1.0046,1.0017,1.0005,1.0005,1.0008,1.0025,1.0013,1.0011,1.0014,1.0046,1.0016,1.0000,1.0962,1.0292,1.0371,1.0379,1.0276,1.0579,1.0131,1.0080,1.0150,1.0516,1.0192,1.0000,3371.05,5055.65,4007.88,2553.93,1911.77,1040.97,211.19,2562.98,1606.16,531.29,1.1649,0.6310,1.0275,1.3784,1.0056,0.5844,1.1061,0.1764,0.2340,0.4228,0.6502,0.7095,0.6534,0.6253,0.6588,0.7146,0.5378,0.6947,0.6554,0.7003,0.0120,0.0107,0.0268,0.0187,0.0164,0.0001,0.0846,0.0014,0.0118,0.0113,0.9803,0.9798,0.9904,0.9790,0.9806,1.0000,0.9679,1.0000,0.9742,1.0000,51.36,183.23,77.18,52.17,60.02,9.32,5.74,237.31,56.36,78.78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0418,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95569,572648,131417,91336,0,0,0,0,0,0,0,206,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0318,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0736,0.1337,0.0480,0.0865,0.0116,0.0716,0.1033,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.1,35.3,34.8,36.9,36.2,35.4,64.9,36.2,36.6,35.1
2026-04-01,1.0067,1.0025,1.0008,1.0007,1.0012,1.0032,1.0015,1.0012,1.0016,1.0062,1.0020,1.0000,1.0975,1.0302,1.0377,1.0372,1.0279,1.0587,1.0063,1.0028,1.0153,1.0389,1.0126,1.0001,3373.56,5058.19,4010.63,2555.29,1914.38,1044.68,210.17,2564.04,1611.86,531.57,1.1671,0.6321,1.0293,1.3826,1.0062,0.5799,1.1129,0.1786,0.2333,0.4090,0.6386,0.7077,0.6418,0.6225,0.6581,0.7166,0.4971,0.6709,0.6609,0.7008,0.0113,0.0106,0.0258,0.0184,0.0159,0.0000,0.0829,0.0012,0.0119,0.0103,0.9801,0.9795,0.9903,0.9788,0.9804,1.0000,0.9680,1.0000,0.9740,1.0000,51.49,183.75,77.57,52.44,60.27,9.39,5.74,237.68,56.59,79.18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0423,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95402,572815,131417,91336,0,0,0,0,0,0,0,373,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1194,0.0471,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0737,0.1337,0.0481,0.0865,0.0117,0.0716,0.1030,0.0015,0.1339,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.0,37.9,37.0,40.5,39.2,38.9,66.9,39.3,40.9,37.6
2026-05-01,1.0084,1.0030,1.0009,1.0008,1.0016,1.0036,1.0016,1.0012,1.0016,1.0073,1.0023,1.0001,1.0949,1.0312,1.0382,1.0366,1.0282,1.0592,1.0032,1.0028,1.0154,1.0307,1.0084,1.0001,3376.74,5060.79,4013.42,2556.65,1917.01,1047.67,209.22,2565.41,1616.43,531.96,1.1694,0.6332,1.0308,1.3866,1.0068,0.5763,1.1198,0.1813,0.2327,0.3918,0.6394,0.7143,0.6353,0.6207,0.6468,0.7214,0.4699,0.6571,0.6489,0.6975,0.0112,0.0106,0.0255,0.0181,0.0158,0.0000,0.0680,0.0012,0.0119,0.0099,0.9799,0.9792,0.9902,0.9785,0.9802,1.0000,0.9681,1.0000,0.9737,1.0000,51.43,183.90,77.72,52.49,60.24,9.44,5.71,237.23,56.70,79.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4596,0.0428,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95227,572990,131417,91336,0,0,0,0,0,0,0,548,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1757,0.0673,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0482,0.0865,0.0117,0.0717,0.1028,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,42.7,40.5,39.2,44.0,42.1,41.8,69.2,43.0,44.2,40.8
2026-06-01,1.0099,1.0035,1.0010,1.0009,1.0020,1.0038,1.0016,1.0011,1.0016,1.0079,1.0024,1.0001,1.0938,1.0318,1.0386,1.0359,1.0279,1.0593,1.0032,1.0027,1.0153,1.0213,1.0051,1.0001,3379.31,5064.08,4016.96,2558.12,1920.31,1051.41,208.63,2566.52,1621.01,532.29,1.1710,0.6347,1.0324,1.3907,1.0076,0.5719,1.1245,0.1835,0.2321,0.3781,0.6431,0.7172,0.6338,0.6196,0.6469,0.7156,0.4630,0.6581,0.6583,0.7037,0.0111,0.0106,0.0252,0.0177,0.0156,0.0000,0.0608,0.0011,0.0120,0.0096,0.9797,0.9791,0.9901,0.9784,0.9801,1.0000,0.9683,1.0000,0.9735,1.0000,51.37,184.01,77.82,52.53,60.21,9.48,5.71,236.78,56.73,79.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4578,0.0430,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95021,573196,131417,91336,0,0,0,0,0,0,0,754,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2197,0.0830,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0483,0.0865,0.0117,0.0717,0.1025,0.0016,0.1342,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,45.6,43.8,42.0,47.5,45.7,45.4,70.9,45.9,47.5,43.4
2026-07-01,1.0110,1.0039,1.0012,1.0010,1.0023,1.0038,1.0016,1.0010,1.0015,1.0083,1.0025,1.0001,1.0949,1.0323,1.0389,1.0355,1.0281,1.0592,1.0032,1.0026,1.0152,1.0152,1.0041,1.0001,3381.88,5066.76,4019.81,2559.58,1922.96,1054.42,208.15,2567.62,1626.77,532.64,1.1724,0.6358,1.0334,1.3947,1.0081,0.5683,1.1287,0.1856,0.2314,0.3643,0.6388,0.7150,0.6374,0.6188,0.6437,0.7217,0.4685,0.6427,0.6271,0.6935,0.0111,0.0105,0.0250,0.0175,0.0156,0.0000,0.0602,0.0011,0.0120,0.0095,0.9797,0.9790,0.9901,0.9783,0.9800,1.0000,0.9684,1.0000,0.9734,1.0000,51.33,184.12,77.91,52.57,60.22,9.51,5.70,236.55,56.85,79.70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4573,0.0431,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94798,573419,131417,91336,0,0,0,0,0,0,0,977,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2629,0.0984,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1338,0.0484,0.0865,0.0117,0.0717,0.1024,0.0016,0.1343,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,48.6,46.4,44.2,51.0,48.6,48.3,72.6,48.8,51.5,45.9
2026-08-01,1.0139,1.0054,1.0013,1.0014,1.0027,1.0041,1.0025,1.0019,1.0025,1.0092,1.0035,0.9997,1.1869,1.0767,1.0489,1.0423,1.0454,1.0739,1.0253,1.0198,1.0363,1.0286,1.0315,0.9998,3385.78,5070.80,4023.23,2549.35,1912.69,1057.40,207.58,2567.49,1631.95,532.68,1.1734,0.6371,1.0345,1.4053,1.0161,0.5648,1.1337,0.1884,0.2307,0.3473,0.6424,0.7077,0.6297,0.5798,0.5884,0.7164,0.4580,0.6312,0.6322,0.6900,0.0127,0.0112,0.0270,0.0674,0.0757,0.0000,0.0607,0.0014,0.0106,0.0118,0.9798,0.9791,0.9901,0.8693,0.8469,1.0000,0.9688,1.0000,0.9737,1.0000,51.18,180.37,75.28,47.68,50.91,9.42,5.48,225.83,56.47,76.53,0.0000,0.0000,0.0000,0.1320,0.1581,0.0000,0.4559,0.0427,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94538,573679,131417,91336,0,0,0,0,0,0,0,1237,0,0,0.0000,0.0000,0.0000,0.0102,0.0106,0.0000,0.3162,0.1170,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1238,0.0750,0.1339,0.0463,0.0837,0.0114,0.0702,0.0986,0.0036,0.1293,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.2,49.7,46.9,54.5,51.7,51.2,74.8,52.3,54.7,49.0
2026-09-01,1.0163,1.0066,1.0014,1.0017,1.0028,1.0042,1.0030,1.0022,1.0029,1.0098,1.0042,0.9995,1.1885,1.0779,1.0492,1.0405,1.0453,1.0740,1.0123,1.0072,1.0369,1.0217,1.0212,0.9995,3391.05,5074.57,4026.74,2541.92,1906.75,1061.12,207.17,2567.31,1637.10,532.67,1.1733,0.6382,1.0352,1.4146,1.0209,0.5610,1.1374,0.1907,0.2301,0.3338,0.6460,0.7114,0.6286,0.5636,0.5467,0.7155,0.4582,0.6218,0.6288,0.6859,0.0115,0.0110,0.0254,0.0662,0.0746,0.0000,0.0589,0.0011,0.0105,0.0099,0.9796,0.9790,0.9901,0.8692,0.8468,1.0000,0.9689,1.0000,0.9735,1.0000,51.21,180.96,75.72,47.31,50.71,9.51,5.46,225.24,56.63,76.76,0.0000,0.0000,0.0000,0.1322,0.1584,0.0000,0.4560,0.0430,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94243,573974,131417,91336,0,0,0,0,0,0,0,1532,0,0,0.0000,0.0000,0.0000,0.0204,0.0198,0.0000,0.3574,0.1315,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1253,0.0757,0.1356,0.0469,0.0847,0.0114,0.0700,0.0983,0.0035,0.1294,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,55.2,52.3,49.1,57.8,54.2,54.8,76.5,55.1,57.8,51.5
2026-10-01,1.0180,1.0075,1.0016,1.0019,1.0029,1.0041,1.0032,1.0022,1.0030,1.0101,1.0046,0.9993,1.1899,1.0786,1.0494,1.0390,1.0450,1.0738,1.0082,1.0072,1.0370,1.0150,1.0125,0.9993,3396.47,5078.45,4030.50,2536.69,1903.54,1064.12,206.69,2567.09,1643.51,532.69,1.1730,0.6394,1.0359,1.4226,1.0243,0.5579,1.1420,0.1932,0.2294,0.3168,0.6466,0.7073,0.6352,0.5531,0.5235,0.7166,0.4602,0.6427,0.6390,0.6910,0.0111,0.0109,0.0249,0.0652,0.0740,0.0000,0.0578,0.0011,0.0105,0.0093,0.9796,0.9790,0.9901,0.8693,0.8469,1.0000,0.9691,1.0000,0.9735,1.0000,51.20,181.24,75.94,47.00,50.48,9.56,5.45,224.62,56.77,76.95,0.0000,0.0000,0.0000,0.1322,0.1587,0.0000,0.4553,0.0432,0.0000,0.0000,104304,74663,53998,54750,86225,66964,93918,574299,131417,91336,0,0,0,0,0,0,0,1857,0,0,0.0000,0.0000,0.0000,0.0302,0.0290,0.0000,0.4093,0.1479,0.0000,0.0000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.1253,0.0757,0.1356,0.0467,0.0886,0.0115,0.0701,0.0980,0.0034,0.1295,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,58.2,54.9,51.3,60.9,56.4,57.7,78.6,58.4,61.8,54.5
