date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0001,1.0298,1.0000,1.0000,1.0170,1.0170,1.0221,1.0232,1.0170,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6673,0.6748,0.6750,0.7200,0.0019,0.0004,0.0179,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53.01,188.04,79.00,54.35,61.58,9.29,7.94,244.34,57.59,79.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0741,0.1337,0.0482,0.0865,0.0115,0.0806,0.1079,0.0015,0.1360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,60.0,30.0,30.0,30.0
2026-02-01,1.0023,1.0009,1.0003,1.0003,1.0004,1.0015,1.0009,1.0008,1.0010,1.0028,1.0010,1.0000,1.1088,1.0290,1.0364,1.0391,1.0272,1.0569,1.0225,1.0181,1.0244,1.0645,1.0263,1.0000,3368.89,5053.18,4005.16,2552.71,1909.20,1038.03,212.50,2562.01,1601.63,531.03,1.1627,0.6298,1.0254,1.3745,1.0050,0.5880,1.0979,0.1742,0.2346,0.4365,0.6545,0.7077,0.6549,0.6276,0.6637,0.7182,0.5910,0.6791,0.6765,0.7101,0.0142,0.0119,0.0289,0.0202,0.0184,0.0010,0.0866,0.0021,0.0129,0.0130,0.9798,0.9792,0.9901,0.9786,0.9803,0.9993,0.9677,1.0000,0.9739,1.0000,50.95,182.21,76.54,51.76,59.48,9.22,5.75,235.62,56.00,78.32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4587,0.0413,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95706,572511,131417,91336,0,0,0,0,0,0,0,69,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0162,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1188,0.0735,0.1337,0.0479,0.0865,0.0116,0.0716,0.1032,0.0015,0.1336,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.3,32.6,32.4,33.5,33.3,32.5,62.6,33.0,33.3,32.6
2026-03-01,1.0046,1.0017,1.0005,1.0005,1.0007,1.0025,1.0013,1.0011,1.0014,1.0046,1.0016,1.0000,1.0962,1.0292,1.0371,1.0379,1.0276,1.0579,1.0131,1.0080,1.0150,1.0516,1.0192,1.0000,3371.29,5055.60,4007.81,2553.85,1911.77,1040.97,211.19,2562.98,1606.16,531.29,1.1655,0.6309,1.0274,1.3779,1.0056,0.5843,1.1061,0.1764,0.2340,0.4228,0.6528,0.7036,0.6484,0.6188,0.6595,0.7224,0.5321,0.6693,0.6635,0.7008,0.0120,0.0107,0.0268,0.0187,0.0164,0.0001,0.0846,0.0014,0.0118,0.0113,0.9803,0.9798,0.9904,0.9790,0.9806,1.0000,0.9679,1.0000,0.9742,1.0000,51.36,183.23,77.18,52.16,60.02,9.32,5.74,237.31,56.36,78.78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0418,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95583,572634,131417,91336,0,0,0,0,0,0,0,192,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0764,0.0312,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0736,0.1337,0.0480,0.0864,0.0116,0.0716,0.1033,0.0015,0.1338,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.3,35.2,34.7,36.8,36.3,35.4,64.8,36.0,36.7,35.1
2026-04-01,1.0067,1.0025,1.0008,1.0007,1.0012,1.0032,1.0015,1.0012,1.0016,1.0062,1.0020,1.0000,1.0975,1.0302,1.0377,1.0372,1.0279,1.0587,1.0063,1.0028,1.0153,1.0389,1.0126,1.0001,3374.07,5058.14,4010.55,2555.07,1914.38,1044.68,210.17,2564.04,1611.86,531.57,1.1687,0.6321,1.0292,1.3810,1.0062,0.5798,1.1129,0.1786,0.2333,0.4090,0.6513,0.7005,0.6467,0.6154,0.6590,0.7215,0.4910,0.6438,0.6510,0.6951,0.0113,0.0106,0.0258,0.0184,0.0159,0.0000,0.0829,0.0012,0.0119,0.0103,0.9801,0.9795,0.9903,0.9788,0.9804,1.0000,0.9680,1.0000,0.9740,1.0000,51.50,183.75,77.57,52.44,60.27,9.39,5.74,237.68,56.59,79.18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4593,0.0423,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95450,572767,131417,91336,0,0,0,0,0,0,0,325,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1128,0.0458,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0737,0.1337,0.0481,0.0865,0.0117,0.0716,0.1030,0.0015,0.1339,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,39.6,37.8,36.9,40.0,39.2,39.1,66.8,39.0,40.9,37.7
2026-05-01,1.0084,1.0030,1.0009,1.0008,1.0016,1.0036,1.0016,1.0012,1.0016,1.0073,1.0023,1.0001,1.0949,1.0312,1.0382,1.0366,1.0282,1.0592,1.0032,1.0028,1.0154,1.0307,1.0085,1.0001,3376.79,5061.39,4013.34,2556.35,1917.01,1047.67,209.22,2565.41,1616.43,531.96,1.1717,0.6334,1.0308,1.3840,1.0069,0.5763,1.1199,0.1813,0.2327,0.3919,0.6503,0.6949,0.6409,0.6176,0.6556,0.7204,0.4743,0.6358,0.6296,0.6862,0.0112,0.0106,0.0255,0.0181,0.0158,0.0000,0.0680,0.0012,0.0119,0.0099,0.9799,0.9792,0.9902,0.9785,0.9802,1.0000,0.9681,1.0000,0.9737,1.0000,51.43,183.90,77.71,52.48,60.24,9.44,5.71,237.24,56.70,79.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4596,0.0428,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95269,572948,131417,91336,0,0,0,0,0,0,0,506,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1654,0.0652,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0482,0.0865,0.0117,0.0717,0.1028,0.0015,0.1341,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,42.9,41.0,39.2,43.2,42.2,42.0,69.1,42.5,44.1,40.7
2026-06-01,1.0099,1.0035,1.0010,1.0009,1.0020,1.0038,1.0016,1.0011,1.0016,1.0079,1.0024,1.0001,1.0938,1.0318,1.0386,1.0359,1.0279,1.0593,1.0032,1.0027,1.0153,1.0213,1.0051,1.0001,3379.62,5064.03,4016.88,2558.00,1920.31,1051.41,208.63,2566.52,1621.01,532.29,1.1749,0.6345,1.0324,1.3873,1.0077,0.5720,1.1245,0.1835,0.2321,0.3781,0.6496,0.6979,0.6385,0.6010,0.6607,0.7176,0.4697,0.6384,0.6361,0.6869,0.0111,0.0106,0.0252,0.0177,0.0156,0.0000,0.0608,0.0011,0.0120,0.0096,0.9797,0.9791,0.9901,0.9784,0.9801,1.0000,0.9683,1.0000,0.9735,1.0000,51.37,184.01,77.81,52.52,60.21,9.48,5.71,236.78,56.73,79.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4578,0.0430,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95045,573172,131417,91336,0,0,0,0,0,0,0,730,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2098,0.0811,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1337,0.0483,0.0865,0.0117,0.0717,0.1025,0.0016,0.1342,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,46.2,43.5,41.9,47.1,45.9,45.6,70.8,45.3,47.2,43.2
2026-07-01,1.0110,1.0039,1.0012,1.0010,1.0022,1.0038,1.0016,1.0010,1.0015,1.0083,1.0025,1.0001,1.0950,1.0323,1.0389,1.0355,1.0280,1.0593,1.0032,1.0026,1.0153,1.0152,1.0041,1.0001,3382.37,5066.70,4019.74,2559.36,1922.96,1054.42,208.15,2567.62,1626.77,532.64,1.1779,0.6355,1.0334,1.3896,1.0083,0.5685,1.1287,0.1857,0.2314,0.3643,0.6490,0.6947,0.6403,0.6083,0.6561,0.7082,0.4633,0.6503,0.6717,0.6877,0.0111,0.0105,0.0250,0.0175,0.0156,0.0000,0.0603,0.0011,0.0120,0.0094,0.9796,0.9790,0.9901,0.9783,0.9800,1.0000,0.9684,1.0000,0.9734,1.0000,51.33,184.11,77.91,52.56,60.22,9.51,5.69,236.54,56.85,79.70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4579,0.0432,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94834,573383,131417,91336,0,0,0,0,0,0,0,941,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2535,0.0966,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0738,0.1338,0.0484,0.0865,0.0117,0.0714,0.1024,0.0015,0.1343,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,49.4,46.0,44.1,50.3,48.9,48.4,72.5,48.2,51.4,45.7
2026-08-01,1.0118,1.0041,1.0012,1.0010,1.0023,1.0038,1.0015,1.0009,1.0015,1.0085,1.0023,0.9998,1.0958,1.0326,1.0391,1.0324,1.0279,1.0590,1.0031,1.0025,1.0152,1.0111,1.0039,0.9999,3384.18,5071.92,4024.04,2560.73,1925.21,1057.43,207.60,2569.04,1631.96,533.09,1.1814,0.6366,1.0343,1.3924,1.0092,0.5651,1.1336,0.1883,0.2307,0.3471,0.6478,0.6967,0.6400,0.6033,0.6618,0.7127,0.4674,0.6431,0.6784,0.6850,0.0111,0.0105,0.0250,0.0174,0.0155,0.0000,0.0598,0.0011,0.0106,0.0094,0.9796,0.9789,0.9900,0.9783,0.9800,1.0000,0.9686,1.0000,0.9734,1.0000,51.29,184.18,78.04,52.63,60.22,9.54,5.70,236.38,56.86,79.85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4562,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94570,573647,131417,91336,0,0,0,0,0,0,0,1205,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3071,0.1154,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1170,0.0767,0.1357,0.0475,0.0850,0.0116,0.0710,0.1023,0.0037,0.1344,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,52.7,49.1,46.9,54.2,51.8,51.3,74.7,51.8,55.0,48.8
2026-09-01,1.0125,1.0043,1.0013,1.0010,1.0023,1.0037,1.0013,1.0008,1.0014,1.0085,1.0021,0.9996,1.0963,1.0328,1.0392,1.0323,1.0275,1.0587,1.0029,1.0024,1.0150,1.0095,1.0037,0.9996,3385.84,5076.42,4027.67,2562.11,1928.50,1061.18,207.20,2570.21,1637.13,533.46,1.1850,0.6374,1.0349,1.3942,1.0100,0.5609,1.1373,0.1905,0.2301,0.3333,0.6462,0.7018,0.6389,0.6054,0.6691,0.7195,0.4634,0.6345,0.6756,0.6850,0.0111,0.0105,0.0249,0.0172,0.0154,0.0000,0.0595,0.0011,0.0106,0.0093,0.9795,0.9789,0.9900,0.9782,0.9800,1.0000,0.9686,1.0000,0.9733,1.0000,51.27,184.34,78.08,52.52,60.18,9.56,5.68,236.26,57.02,79.95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4554,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,94301,573916,131417,91336,0,0,0,0,0,0,0,1474,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3493,0.1300,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1159,0.0762,0.1345,0.0507,0.0881,0.0115,0.0708,0.1022,0.0036,0.1345,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,56.0,51.7,49.1,57.3,55.6,54.9,76.5,54.6,58.4,51.2
2026-10-01,1.0130,1.0044,1.0014,1.0010,1.0023,1.0035,1.0012,1.0008,1.0013,1.0084,1.0019,0.9994,1.0966,1.0329,1.0393,1.0323,1.0274,1.0584,1.0028,1.0024,1.0149,1.0094,1.0035,0.9994,3387.52,5080.91,4031.46,2564.52,1931.81,1064.18,206.83,2571.40,1643.56,533.94,1.1884,0.6382,1.0355,1.3952,1.0103,0.5575,1.1409,0.1927,0.2293,0.3160,0.6446,0.7030,0.6332,0.6143,0.6593,0.7196,0.4638,0.6406,0.6591,0.6825,0.0111,0.0105,0.0249,0.0172,0.0154,0.0000,0.0592,0.0011,0.0106,0.0092,0.9796,0.9789,0.9900,0.9783,0.9800,1.0000,0.9687,1.0000,0.9733,1.0000,51.22,184.42,78.09,52.51,60.20,9.59,5.66,236.19,57.16,80.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4554,0.0433,0.0000,0.0000,104304,74663,53998,54750,86225,66964,93976,574241,131417,91336,0,0,0,0,0,0,0,1799,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3911,0.1443,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1173,0.0767,0.1362,0.0513,0.0892,0.0115,0.0708,0.1021,0.0035,0.1346,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,59.2,54.2,51.3,60.5,58.6,57.8,78.2,57.4,62.7,54.3
