date,price_oil,price_gas,price_coal,price_electricity,price_food,price_critical-minerals,price_steel,price_consumer-goods,price_electronics,price_arms,price_pharma,price_services,import_price_oil,import_price_gas,import_price_coal,import_price_electricity,import_price_food,import_price_critical-minerals,import_price_steel,import_price_consumer-goods,import_price_electronics,import_price_arms,import_price_pharma,import_price_services,gdp_FRA,gdp_DEU,gdp_GBR,gdp_ITA,gdp_ESP,gdp_POL,gdp_UKR,gdp_RUS,gdp_TUR,gdp_NOR,debt_FRA,debt_DEU,debt_GBR,debt_ITA,debt_ESP,debt_POL,debt_UKR,debt_RUS,debt_TUR,debt_NOR,stability_FRA,stability_DEU,stability_GBR,stability_ITA,stability_ESP,stability_POL,stability_UKR,stability_RUS,stability_TUR,stability_NOR,shortage_FRA,shortage_DEU,shortage_GBR,shortage_ITA,shortage_ESP,shortage_POL,shortage_UKR,shortage_RUS,shortage_TUR,shortage_NOR,gas_coverage_FRA,gas_coverage_DEU,gas_coverage_GBR,gas_coverage_ITA,gas_coverage_ESP,gas_coverage_POL,gas_coverage_UKR,gas_coverage_RUS,gas_coverage_TUR,gas_coverage_NOR,maritime_trade_FRA,maritime_trade_DEU,maritime_trade_GBR,maritime_trade_ITA,maritime_trade_ESP,maritime_trade_POL,maritime_trade_UKR,maritime_trade_RUS,maritime_trade_TUR,maritime_trade_NOR,blockade_FRA,blockade_DEU,blockade_GBR,blockade_ITA,blockade_ESP,blockade_POL,blockade_UKR,blockade_RUS,blockade_TUR,blockade_NOR,tiles_FRA,tiles_DEU,tiles_GBR,tiles_ITA,tiles_ESP,tiles_POL,tiles_UKR,tiles_RUS,tiles_TUR,tiles_NOR,contested_FRA,contested_DEU,contested_GBR,contested_ITA,contested_ESP,contested_POL,contested_UKR,contested_RUS,contested_TUR,contested_NOR,exhaustion_FRA,exhaustion_DEU,exhaustion_GBR,exhaustion_ITA,exhaustion_ESP,exhaustion_POL,exhaustion_UKR,exhaustion_RUS,exhaustion_TUR,exhaustion_NOR,sanctions_against_FRA,sanctions_against_DEU,sanctions_against_GBR,sanctions_against_ITA,sanctions_against_ESP,sanctions_against_POL,sanctions_against_UKR,sanctions_against_RUS,sanctions_against_TUR,sanctions_against_NOR,at_war_FRA,at_war_DEU,at_war_GBR,at_war_ITA,at_war_ESP,at_war_POL,at_war_UKR,at_war_RUS,at_war_TUR,at_war_NOR,export_share_FRA,export_share_DEU,export_share_GBR,export_share_ITA,export_share_ESP,export_share_POL,export_share_UKR,export_share_RUS,export_share_TUR,export_share_NOR,circumvention_FRA,circumvention_DEU,circumvention_GBR,circumvention_ITA,circumvention_ESP,circumvention_POL,circumvention_UKR,circumvention_RUS,circumvention_TUR,circumvention_NOR,regime_FRA,regime_DEU,regime_GBR,regime_ITA,regime_ESP,regime_POL,regime_UKR,regime_RUS,regime_TUR,regime_NOR,legitimacy_FRA,legitimacy_DEU,legitimacy_GBR,legitimacy_ITA,legitimacy_ESP,legitimacy_POL,legitimacy_UKR,legitimacy_RUS,legitimacy_TUR,legitimacy_NOR,capital_FRA,capital_DEU,capital_GBR,capital_ITA,capital_ESP,capital_POL,capital_UKR,capital_RUS,capital_TUR,capital_NOR
2026-01-01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0001,1.0298,1.0000,1.0000,1.0170,1.0170,1.0221,1.0232,1.0170,1.0000,3366.32,5050.92,4002.59,2551.56,1906.45,1035.49,214.23,2561.31,1597.29,530.76,1.1600,0.6290,1.0230,1.3710,1.0040,0.5880,1.0870,0.1720,0.2350,0.4500,0.6600,0.7169,0.6747,0.6374,0.6767,0.7200,0.6678,0.6750,0.6750,0.7200,0.0019,0.0004,0.0179,0.0017,0.0019,0.0000,0.0027,0.0012,0.0009,0.0031,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,53.01,188.04,79.00,54.35,61.58,9.29,7.94,244.34,57.59,79.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1189,0.0741,0.1337,0.0482,0.0865,0.0115,0.0806,0.1079,0.0015,0.1360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-01,1.0012,1.0004,1.0013,0.9981,1.0021,1.0017,1.0006,1.0006,0.9995,1.0038,1.0014,1.0003,1.0809,1.0346,1.0371,0.9984,1.0406,1.0855,1.0067,1.0370,1.0132,1.0491,1.0296,1.0014,3365.54,5051.94,4002.93,2549.50,1902.05,1037.75,211.98,2560.71,1601.05,530.91,1.1604,0.6290,1.0254,1.3736,1.0074,0.5877,1.1006,0.1743,0.2347,0.4362,0.6589,0.7160,0.6791,0.6276,0.6632,0.7197,0.6022,0.6689,0.6684,0.7011,0.0146,0.0111,0.0146,0.0189,0.0208,0.0012,0.0641,0.0019,0.0111,0.0172,0.9747,0.9735,0.9875,0.9743,0.9764,0.9944,0.9676,1.0000,0.9699,1.0000,50.54,182.68,75.95,52.69,59.80,9.15,5.79,234.38,56.01,79.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4583,0.0410,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,0.0092,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1179,0.0739,0.1338,0.0487,0.0864,0.0116,0.0719,0.1013,0.0015,0.1321,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,30.2,30.4,22.0,31.2,31.4,31.7,62.6,33.0,33.1,32.6
2026-03-01,1.0017,1.0016,0.9996,0.9959,1.0038,1.0041,1.0006,1.0012,1.0001,1.0053,1.0035,1.0022,1.0819,1.0293,1.0372,0.9960,1.0449,1.1017,1.0308,1.0118,1.0145,1.0151,1.1053,1.0040,3369.80,5053.81,4010.31,2551.73,1901.12,1040.39,210.57,2556.92,1608.54,530.53,1.1629,0.6304,1.0265,1.3770,1.0100,0.5841,1.1093,0.1769,0.2337,0.4220,0.6523,0.7064,0.6703,0.6256,0.6564,0.7162,0.5504,0.6718,0.6674,0.6978,0.0159,0.0107,0.0168,0.0192,0.0222,0.0005,0.0637,0.0021,0.0109,0.0207,0.9802,0.9796,0.9903,0.9789,0.9805,1.0000,0.9678,1.0000,0.9740,1.0000,50.28,182.68,76.16,52.49,59.36,9.27,5.76,232.30,55.94,79.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4599,0.0431,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0184,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1195,0.0751,0.1351,0.0499,0.0876,0.0127,0.0730,0.0996,0.0015,0.1325,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,33.4,33.2,24.5,34.7,34.6,34.8,64.9,36.0,36.8,35.3
2026-04-01,1.0016,1.0019,0.9981,0.9934,1.0048,1.0059,1.0009,1.0014,0.9997,1.0053,1.0073,1.0046,1.0846,1.0306,1.0363,0.9938,1.0305,1.0897,1.0455,1.0031,1.0139,1.0483,1.0891,1.0054,3362.43,5057.06,4014.40,2558.96,1899.99,1040.38,209.33,2563.10,1611.74,530.30,1.1691,0.6315,1.0282,1.3774,1.0127,0.5836,1.1173,0.1787,0.2333,0.4078,0.6476,0.7068,0.6662,0.6190,0.6432,0.7254,0.5151,0.6403,0.5542,0.6909,0.0154,0.0107,0.0146,0.0165,0.0184,0.0004,0.0648,0.0022,0.0110,0.0149,0.9794,0.9788,0.9900,0.9782,0.9799,1.0000,0.9682,1.0000,0.9732,1.0000,50.33,183.14,76.57,52.83,59.51,9.35,5.73,233.22,56.04,79.24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0276,0.0276,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1214,0.0769,0.1373,0.0517,0.0895,0.0143,0.0722,0.0996,0.0014,0.1325,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.500,0.800,36.6,36.0,27.0,38.2,37.7,37.2,67.0,39.0,40.3,38.0
2026-05-01,1.0038,0.9994,0.9934,0.9934,1.0041,1.0096,1.0000,1.0020,1.0000,1.0077,1.0112,1.0049,1.1434,1.0250,1.0295,1.0365,1.0298,1.1048,1.0018,1.0339,1.0421,1.0681,1.1361,1.0053,3368.08,5054.02,4023.49,2557.76,1905.00,1046.54,208.37,2566.25,1611.74,531.55,1.1705,0.6335,1.0284,1.3871,1.0127,0.5771,1.1243,0.1813,0.2334,0.3924,0.6455,0.7032,0.6507,0.6192,0.6502,0.7374,0.4873,0.6589,0.6500,0.6824,0.0199,0.0149,0.0349,0.0234,0.0232,0.0033,0.0915,0.0034,0.0153,0.0174,0.9818,0.9811,0.9911,0.9807,0.9825,1.0000,0.9695,1.0000,0.9763,1.0000,50.24,181.35,76.97,51.41,58.56,9.45,5.64,231.29,55.43,78.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.0412,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0391,0.0391,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1226,0.0768,0.1376,0.0514,0.0901,0.0146,0.0725,0.1004,0.0014,0.1340,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.148,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.825,0.800,0.500,0.500,0.800,39.8,38.7,29.4,41.7,41.6,31.9,69.4,42.6,43.9,40.6
2026-06-01,1.0087,0.9959,0.9905,0.9944,1.0018,1.0112,0.9994,1.0018,1.0000,1.0081,1.0136,1.0060,1.1979,1.0237,1.0284,1.0490,1.0271,1.0768,1.0010,1.0036,1.0131,1.0169,1.0379,1.0071,3366.14,5049.10,4031.79,2557.31,1904.07,1048.51,207.96,2567.63,1612.70,528.51,1.1742,0.6357,1.0286,1.3911,1.0154,0.5740,1.1280,0.1835,0.2314,0.3802,0.6420,0.6998,0.6458,0.6158,0.6510,0.7339,0.4827,0.6427,0.6369,0.6795,0.0188,0.0191,0.0303,0.0297,0.0227,0.0054,0.0845,0.0012,0.0163,0.0107,0.9802,0.9795,0.9903,0.9790,0.9809,1.0000,0.9689,1.0000,0.9743,1.0000,49.48,177.59,74.73,51.75,57.25,9.47,5.52,227.69,54.71,77.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4599,0.0435,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0483,0.0483,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1231,0.0766,0.1382,0.0518,0.0909,0.0148,0.0696,0.1005,0.0017,0.1368,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.149,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.815,0.800,0.500,0.500,0.800,42.9,41.4,31.8,45.1,44.7,35.1,71.2,45.5,47.3,43.2
2026-07-01,1.0140,0.9939,0.9862,0.9968,0.9995,1.0108,0.9964,1.0010,1.0017,1.0056,1.0121,1.0082,1.2495,1.0218,1.0245,1.0700,1.0251,1.0675,0.9981,1.0024,1.0149,1.0060,1.0136,1.0092,3376.20,5044.94,4049.46,2555.95,1908.58,1053.63,207.61,2567.72,1613.24,528.72,1.1759,0.6378,1.0261,1.3962,1.0153,0.5723,1.1314,0.1858,0.2313,0.3655,0.6312,0.7036,0.6418,0.6071,0.6582,0.7296,0.4771,0.6399,0.6178,0.6816,0.0210,0.0239,0.0309,0.0391,0.0253,0.0087,0.0836,0.0010,0.0187,0.0099,0.9800,0.9792,0.9902,0.9787,0.9805,1.0000,0.9684,1.0000,0.9739,1.0000,48.99,174.24,72.42,52.11,56.19,9.19,5.46,225.48,54.34,76.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4580,0.0436,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0575,0.0575,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1247,0.0774,0.1400,0.0531,0.0924,0.0161,0.0744,0.1021,0.0031,0.1369,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.827,0.800,0.805,0.800,0.500,0.500,0.800,48.7,44.2,34.2,39.4,47.9,38.2,73.1,48.3,48.3,45.9
2026-08-01,1.0171,0.9931,0.9827,1.0005,1.0002,1.0098,0.9920,1.0020,1.0033,1.0041,1.0101,1.0077,1.1021,1.0208,1.0205,1.0751,1.0255,1.0662,0.9940,1.0341,1.0696,1.0044,1.0116,1.0078,3369.87,5033.45,4063.72,2563.36,1910.81,1057.98,206.94,2567.52,1623.39,528.47,1.1808,0.6458,1.0253,1.3963,1.0160,0.5684,1.1370,0.1886,0.2300,0.3511,0.6316,0.7185,0.6294,0.6032,0.6604,0.7335,0.4791,0.6449,0.6299,0.6859,0.0126,0.0152,0.0275,0.0344,0.0180,0.0005,0.0625,0.0033,0.0125,0.0129,0.9800,0.9793,0.9902,0.9788,0.9806,1.0000,0.9684,1.0000,0.9739,1.0000,51.09,177.07,73.38,53.95,58.03,9.46,5.51,234.15,55.76,78.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4561,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,0.0690,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1291,0.0812,0.1393,0.0530,0.0923,0.0161,0.0759,0.1007,0.0085,0.1373,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.150,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.787,0.800,0.800,0.800,0.500,0.500,0.800,51.8,48.6,37.1,42.8,50.7,40.9,75.3,51.9,51.7,48.5
2026-09-01,1.0180,0.9917,0.9808,1.0044,1.0018,1.0084,0.9915,1.0029,1.0043,1.0036,1.0119,1.0086,1.1020,1.0194,1.0189,1.0582,1.0293,1.0643,0.9929,1.0044,1.0301,1.0039,1.0774,1.0097,3374.73,5048.96,4074.24,2561.94,1916.31,1062.93,206.83,2575.10,1631.31,529.67,1.1815,0.6459,1.0246,1.3986,1.0153,0.5645,1.1391,0.1903,0.2289,0.3358,0.6361,0.7316,0.6458,0.5940,0.6560,0.7287,0.4772,0.6390,0.6468,0.6848,0.0129,0.0129,0.0273,0.0266,0.0175,0.0000,0.0609,0.0019,0.0111,0.0133,0.9800,0.9793,0.9902,0.9788,0.9806,1.0000,0.9683,1.0000,0.9740,1.0000,51.01,180.37,75.86,52.56,58.57,9.76,5.54,233.49,56.10,79.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4561,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0782,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1339,0.0823,0.1443,0.0533,0.0927,0.0167,0.0769,0.1009,0.0088,0.1372,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.151,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.793,0.800,0.800,0.722,0.500,0.500,0.800,55.0,52.5,39.5,44.5,53.8,44.0,87.2,54.7,55.2,51.1
2026-10-01,1.0174,0.9910,0.9818,1.0055,1.0017,1.0088,0.9890,1.0016,1.0047,1.0021,1.0133,1.0108,1.1023,1.0188,1.0762,1.0484,1.0268,1.0641,0.9908,1.0033,1.0184,1.0024,1.0644,1.0112,3387.84,5059.94,4075.99,2567.53,1917.24,1065.00,206.28,2578.74,1640.08,529.19,1.1789,0.6461,1.0260,1.3983,1.0201,0.5615,1.1437,0.1923,0.2278,0.3216,0.6433,0.7245,0.6522,0.6037,0.6504,0.7328,0.4896,0.6422,0.6442,0.6799,0.0166,0.0134,0.0302,0.0242,0.0203,0.0000,0.0615,0.0013,0.0147,0.0125,0.9802,0.9794,0.9903,0.9789,0.9808,1.0000,0.9685,1.0000,0.9741,1.0000,51.44,182.46,77.42,52.26,59.69,9.67,5.61,235.82,56.59,79.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4554,0.0434,0.0000,0.0000,104304,74663,53998,54750,86225,66964,95775,572442,131417,91336,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0874,0.0874,0.0000,0.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.1359,0.0846,0.1467,0.0553,0.0989,0.0182,0.0781,0.1053,0.0103,0.1355,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.147,0.000,0.000,semi-presidential,parliamentary,parliamentary,parliamentary,parliamentary,semi-presidential,semi-presidential,electoral-authoritarian,electoral-authoritarian,parliamentary,0.800,0.800,0.800,0.800,0.800,0.800,0.731,0.500,0.500,0.800,58.1,55.4,41.9,47.9,58.4,47.2,89.1,57.5,58.7,53.7
