seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
1,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.918,1.283,2036-02-01,2040-02-01,2038-04-01,52,67,58
2,1,0,RUS>UKR@2031-09:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.897,1.193,2035-12-01,2041-04-01,2038-02-01,55,70,66
3,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.910,1.108,2035-12-01,2038-09-01,2038-05-01,49,40,53
4,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.856,1.118,2036-02-01,2038-10-01,2038-07-01,56,37,55
5,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.907,1.254,2035-12-01,2038-11-01,2037-11-01,53,64,56
6,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.889,1.222,2036-02-01,2039-12-01,2038-03-01,46,71,58
7,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.923,1.176,2035-11-01,2038-10-01,2038-07-01,50,37,57
8,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.899,1.214,2035-12-01,2039-10-01,2040-04-01,63,73,57
9,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,4,0,,0.871,1.317,2035-11-01,2038-08-01,2040-01-01,60,71,57
10,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.884,1.393,2035-12-01,2038-09-01,2038-07-01,69,70,58
11,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.885,1.221,2035-12-01,2039-10-01,2039-06-01,54,80,58
12,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.882,1.448,2035-12-01,2038-09-01,2039-02-01,51,64,54
13,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.860,1.252,2036-01-01,2038-09-01,2038-01-01,57,59,55
14,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.894,1.213,2036-01-01,2038-09-01,2040-04-01,58,74,55
15,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.897,1.167,2035-12-01,2038-08-01,2038-07-01,60,81,58
16,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.929,1.328,2035-11-01,2038-11-01,2038-05-01,53,36,56
17,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.912,1.210,2036-01-01,2038-08-01,2038-06-01,46,65,65
18,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.915,1.164,2035-12-01,2038-08-01,2038-03-01,55,37,57
19,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.886,1.209,2036-01-01,2038-10-01,2038-04-01,49,45,57
20,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.929,1.244,2035-12-01,2038-08-01,2037-09-01,57,31,58
21,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.891,1.266,2036-01-01,2039-10-01,2038-05-01,43,80,55
22,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.916,1.193,2036-01-01,2038-10-01,2038-07-01,45,66,49
23,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.877,1.189,2035-12-01,2038-10-01,2038-08-01,54,38,54
24,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.874,1.161,2035-11-01,2038-11-01,2038-06-01,54,61,55
25,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,5,,0.902,1.194,2035-11-01,2038-07-01,2038-07-01,50,75,55
26,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.894,1.187,2035-12-01,2038-08-01,2038-06-01,49,74,50
27,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.888,1.224,2035-12-01,2038-09-01,2038-11-01,51,68,49
28,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.921,1.406,2036-01-01,2041-03-01,2039-01-01,60,68,46
29,1,0,RUS>UKR@2032-09:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,1,6,,0.923,1.198,2035-11-01,2038-08-01,2039-05-01,60,77,58
30,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,1,,0.885,1.204,2035-11-01,2038-09-01,2038-10-01,54,59,49
31,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,1,,0.919,1.251,2036-01-01,2038-10-01,2038-04-01,43,37,45
32,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.842,1.285,2036-01-01,2038-09-01,2038-09-01,60,45,48
33,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,0,,0.902,1.468,2036-01-01,2039-12-01,2038-05-01,55,71,49
34,1,0,RUS>UKR@2032-01:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.913,1.216,2035-12-01,2038-08-01,2038-08-01,41,37,56
35,1,0,RUS>UKR@2030-12:grievance,0,,UKR@2033-05-04,1,electoral-authoritarian,electoral-authoritarian,2,4,,0.883,1.190,2036-01-01,2038-09-01,2038-05-01,49,55,54
36,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.941,1.356,2036-01-01,2038-09-01,2038-05-01,57,41,47
37,0,0,,0,,,1,junta,electoral-authoritarian,2,2,,0.913,1.266,2036-01-01,2038-08-01,2039-01-01,59,71,44
38,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.882,1.218,2036-01-01,2039-10-01,2038-03-01,57,68,45
39,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.925,1.149,2035-12-01,2039-11-01,2038-11-01,55,67,47
40,1,1,RUS>UKR@2031-03:none,0,,,1,junta,electoral-authoritarian,4,5,,0.902,1.253,2036-02-01,2038-09-01,2038-04-01,54,85,71
41,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.893,1.196,2036-01-01,2039-10-01,2038-10-01,55,75,45
42,0,0,,0,,,1,junta,electoral-authoritarian,5,8,,0.934,1.280,2035-12-01,2038-09-01,2038-10-01,64,36,46
43,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.874,1.288,2036-02-01,2039-10-01,2040-01-01,54,68,44
44,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.917,1.223,2035-12-01,2038-09-01,2038-04-01,58,70,42
45,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.899,1.150,2036-01-01,2038-09-01,2039-03-01,64,73,49
46,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.896,1.128,2036-01-01,2038-09-01,2039-02-01,47,56,51
47,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,7,,0.880,1.209,2035-11-01,2041-01-01,2039-04-01,51,70,52
48,1,0,RUS>UKR@2031-06:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.872,1.175,2036-01-01,2039-12-01,2038-07-01,59,72,56
49,0,0,,0,,,1,electoral-authoritarian,parliamentary,2,3,,0.922,1.183,2035-12-01,2039-10-01,2039-02-01,49,72,50
50,1,0,RUS>UKR@2033-07:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.917,1.160,2035-12-01,2038-09-01,2038-05-01,56,76,62
51,1,0,RUS>UKR@2031-12:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.915,1.180,2036-02-01,2041-03-01,2038-11-01,55,69,60
52,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.877,1.182,2035-12-01,2038-08-01,2038-06-01,48,37,51
53,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.886,1.183,2036-01-01,2041-03-01,2038-12-01,54,66,50
