# V-Dem Regimes of the World (v2x_regime), processed by Our World in Data: 0 closed autocracy, 1 electoral autocracy, 2 electoral democracy, 3 liberal democracy. Licence CC BY-SA 4.0 (share-alike): Coppedge et al., V-Dem Dataset v16, Varieties of Democracy Project, doi:10.23696/vdemds26.
iso3,year,row
AFG,2025,0
AGO,2025,1
ALB,2025,1
ARE,2025,0
ARG,2025,2
ARM,2025,2
AUS,2025,3
AUT,2025,3
AZE,2025,1
BDI,2025,1
BEL,2025,3
BEN,2025,1
BFA,2025,0
BGD,2025,0
BGR,2025,2
BHR,2025,0
BIH,2025,1
BLR,2025,0
BOL,2025,2
BRA,2025,2
BRB,2025,3
BTN,2025,2
BWA,2025,2
CAF,2025,1
CAN,2025,2
CHE,2025,3
CHL,2025,3
CHN,2025,0
CIV,2025,1
CMR,2025,1
COD,2025,1
COG,2025,1
COL,2025,2
COM,2025,1
CPV,2025,2
CRI,2025,3
CUB,2025,0
CYP,2025,3
CZE,2025,3
DEU,2025,3
DJI,2025,1
DNK,2025,3
DOM,2025,2
DZA,2025,1
ECU,2025,2
EGY,2025,1
ERI,2025,0
ESP,2025,3
EST,2025,3
ETH,2025,1
FIN,2025,3
FJI,2025,2
FRA,2025,3
GAB,2025,1
GBR,2025,2
GEO,2025,1
GHA,2025,2
GIN,2025,0
GMB,2025,2
GNB,2025,0
GNQ,2025,1
GRC,2025,2
GTM,2025,2
GUY,2025,2
HND,2025,2
HRV,2025,2
HTI,2025,0
HUN,2025,1
IDN,2025,1
IND,2025,1
IRL,2025,3
IRN,2025,1
IRQ,2025,1
ISL,2025,3
ISR,2025,2
ITA,2025,3
JAM,2025,2
JOR,2025,0
JPN,2025,3
KAZ,2025,1
KEN,2025,2
KGZ,2025,1
KHM,2025,1
KOR,2025,3
KWT,2025,0
LAO,2025,0
LBN,2025,1
LBR,2025,2
LBY,2025,0
LKA,2025,2
LSO,2025,2
LTU,2025,3
LUX,2025,3
LVA,2025,3
MAR,2025,0
MDA,2025,2
MDG,2025,0
MDV,2025,2
MEX,2025,1
MKD,2025,2
MLI,2025,0
MLT,2025,2
MMR,2025,0
MNE,2025,2
MNG,2025,2
MOZ,2025,1
MRT,2025,1
MUS,2025,2
MWI,2025,2
MYS,2025,2
NAM,2025,2
NER,2025,0
NGA,2025,2
NIC,2025,1
NLD,2025,3
NOR,2025,3
NPL,2025,2
NZL,2025,3
OMN,2025,0
PAK,2025,1
PAN,2025,2
PER,2025,2
PHL,2025,1
PNG,2025,1
POL,2025,2
PRK,2025,0
PRT,2025,2
PRY,2025,2
PSE,1948,0
QAT,2025,0
ROU,2025,2
RUS,2025,1
RWA,2025,1
SAU,2025,0
SDN,2025,0
SEN,2025,2
SGP,2025,1
SLB,2025,2
SLE,2025,1
SLV,2025,1
SOM,2025,0
SRB,2025,1
SSD,2025,0
STP,2025,2
SUR,2025,2
SVK,2025,2
SVN,2025,2
SWE,2025,3
SWZ,2025,0
SYC,2025,3
SYR,2025,0
TCD,2025,1
TGO,2025,1
THA,2025,1
TJK,2025,1
TKM,2025,1
TLS,2025,2
TTO,2025,3
TUN,2025,1
TUR,2025,1
TZA,2025,1
UGA,2025,1
UKR,2025,1
URY,2025,3
USA,2025,2
UZB,2025,1
VAT,1861,0
VEN,2025,1
VNM,2025,0
VUT,2025,2
YEM,2025,0
ZAF,2025,2
ZMB,2025,1
ZWE,2025,1
