# World Bank Open Data AG.PRD.CREL.MT, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,5957000
AFG,2011,4681020
AFG,2012,6582000
AFG,2013,6772235
AFG,2014,7012523.28
AFG,2015,6010288
AFG,2016,5708330.42
AFG,2017,5059633.97
AFG,2018,4304555.5
AFG,2019,5771861
AFG,2020,6241828
AFG,2021,4970923
AFG,2022,4802495
AFG,2023,5402975
AFG,2024,6215646.07
AGO,2010,1181944
AGO,2011,1412826
AGO,2012,510531.7
AGO,2013,1674800.86
AGO,2014,1825128.76
AGO,2015,2021290.68
AGO,2016,2372602.15
AGO,2017,2483183.07
AGO,2018,2871952.31
AGO,2019,2918493.21
AGO,2020,3077110
AGO,2021,3059537
AGO,2022,3179113
AGO,2023,3335449
ALB,2010,693800
ALB,2011,701200
ALB,2012,697400
ALB,2013,702870
ALB,2014,700370
ALB,2015,695000
ALB,2016,698430
ALB,2017,701734
ALB,2018,678196
ALB,2019,666065
ALB,2020,684023
ALB,2021,691126.7
ALB,2022,690850
ALB,2023,701314.38
ARE,2010,5336
ARE,2011,4590.17
ARE,2012,3779
ARE,2013,772
ARE,2014,2580
ARE,2015,3695
ARE,2016,5988
ARE,2017,17143
ARE,2018,8169.54
ARE,2019,26072.05
ARE,2020,26405
ARE,2021,23474.84
ARE,2022,21429
ARE,2023,22013.6
ARG,2010,46628492
ARG,2011,49349166
ARG,2012,40712638
ARG,2013,51796533
ARG,2014,55535814.58
ARG,2015,53364962.03
ARG,2016,68228186.97
ARG,2017,76520391.56
ARG,2018,71533692
ARG,2019,83934093.63
ARG,2020,83569977.83
ARG,2021,92198347.34
ARG,2022,81989897.27
ARG,2023,65403921.54
ARG,2024,85727345.71
ARM,2010,321954
ARM,2011,435470
ARM,2012,451049
ARM,2013,543659
ARM,2014,574673
ARM,2015,595756.6
ARM,2016,598966
ARM,2017,298029
ARM,2018,334342
ARM,2019,195063
ARM,2020,242010.7
ARM,2021,149802
ARM,2022,239505.3
ARM,2023,287928.5
ARM,2024,215133.3
ATG,2010,63.44
ATG,2011,71.88
ATG,2012,70.12
ATG,2013,71.77
ATG,2014,72.08
ATG,2015,74.57
ATG,2016,64.71
ATG,2017,51.47
ATG,2018,36.94
ATG,2019,51.04
ATG,2020,55.67
ATG,2021,47.88
ATG,2022,51.53
ATG,2023,51.69
ATG,2024,50.37
AUS,2010,39137185.64
AUS,2011,42828506.87
AUS,2012,35422825.46
AUS,2013,39873045.54
