# World Bank Open Data GB.XPD.RSDV.GD.ZS, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AGO,2016,0.03229
ALB,2021,0.18998
ALB,2022,0.19997
AND,2022,0.15818
ARE,2011,0.47252
ARE,2014,0.67523
ARE,2015,0.86569
ARE,2016,0.9318
ARE,2018,1.26389
ARE,2019,1.31065
ARE,2020,1.48831
ARE,2021,1.49469
ARG,2010,0.56104
ARG,2011,0.56597
ARG,2012,0.63491
ARG,2013,0.61849
ARG,2014,0.59396
ARG,2015,0.62262
ARG,2016,0.55815
ARG,2017,0.55632
ARG,2018,0.4883
ARG,2019,0.47813
ARG,2020,0.54126
ARG,2021,0.5236
ARG,2022,0.54951
ARG,2023,0.60111
ARM,2010,0.24139
ARM,2011,0.27014
ARM,2012,0.23853
ARM,2013,0.22216
ARM,2014,0.24151
ARM,2015,0.25002
ARM,2016,0.23305
ARM,2017,0.22788
ARM,2018,0.18876
ARM,2019,0.17854
ARM,2020,0.2092
ARM,2021,0.20557
ARM,2022,0.20955
ARM,2023,0.1821
ARM,2024,0.2861
AUS,2010,2.3702
AUS,2011,2.23459
AUS,2013,2.17733
AUS,2015,1.91969
AUS,2017,1.88102
AUS,2019,1.82826
AUS,2021,1.85783
AUT,2010,2.74321
AUT,2011,2.68567
AUT,2012,2.93372
AUT,2013,2.97993
AUT,2014,3.11263
AUT,2015,3.06917
AUT,2016,3.13356
AUT,2017,3.07376
AUT,2018,3.10828
AUT,2019,3.14405
AUT,2020,3.20758
AUT,2021,3.25565
AUT,2022,3.17775
AUT,2023,3.25517
AZE,2010,0.21848
AZE,2011,0.21084
AZE,2012,0.21427
AZE,2013,0.20969
AZE,2014,0.20978
AZE,2015,0.22232
AZE,2016,0.20637
AZE,2017,0.18468
AZE,2018,0.18416
AZE,2019,0.20013
AZE,2020,0.2239
AZE,2021,0.20836
AZE,2022,0.1513
AZE,2023,0.1816
AZE,2024,0.20778
BDI,2010,0.13719
BDI,2012,0.10702
BDI,2018,0.21312
BEL,2010,2.0613
BEL,2011,2.15739
BEL,2012,2.27079
BEL,2013,2.32047
BEL,2014,2.35858
BEL,2015,2.43496
BEL,2016,2.53291
BEL,2017,2.67654
BEL,2018,2.86365
BEL,2019,3.15154
BEL,2020,3.36823
BEL,2021,3.40589
BEL,2022,3.19592
BEL,2023,3.27235
BFA,2014,0.19719
BFA,2017,0.61361
BFA,2019,0.17435
BFA,2020,0.25116
BFA,2021,0.25057
BFA,2023,0.09845
BFA,2024,0.10477
BGR,2010,0.56299
BGR,2011,0.5295
BGR,2012,0.60039
BGR,2013,0.63424
BGR,2014,0.79007
BGR,2015,0.94947
BGR,2016,0.77009
BGR,2017,0.74037
BGR,2018,0.75505
BGR,2019,0.83576
BGR,2020,0.84549
BGR,2021,0.76933
BGR,2022,0.75174
BGR,2023,0.79224
BHR,2014,0.09713
BHR,2024,0.19327
BIH,2012,0.26533
BIH,2013,0.32132
BIH,2014,0.25725
BIH,2015,0.21603
BIH,2016,0.21337
BIH,2017,0.1978
BIH,2018,0.19199
BIH,2019,0.19001
BIH,2020,0.20325
BIH,2021,0.19035
BIH,2022,0.18743
BIH,2023,0.18853
BIH,2024,0.21437
BLR,2010,0.66913
BLR,2011,0.6776
BLR,2012,0.64603
BLR,2013,0.65191
BLR,2014,0.50548
BLR,2015,0.49999
BLR,2016,0.50063
BLR,2017,0.58411
BLR,2018,0.60443
BLR,2019,0.57733
BLR,2020,0.53901
BLR,2021,0.45981
BLR,2022,0.47477
BLR,2023,0.57348
BLR,2024,0.5872
BOL,2017,0.07627
BOL,2019,0.06643
BOL,2021,0.06308
BRA,2010,1.15992
BRA,2011,1.13966
BRA,2012,1.12684
BRA,2013,1.19567
BRA,2014,1.26971
BRA,2015,1.28464
BRA,2016,1.19584
BRA,2017,1.1175
BRA,2018,1.15016
BRA,2019,1.15115
BRA,2020,1.21907
BRA,2021,1.13371
BRA,2022,1.18873
BRA,2023,1.1938
BRN,2018,0.27764
BTN,2023,0.10787
BTN,2024,0.09979
BWA,2012,0.26759
BWA,2013,0.561
CAN,2010,1.82504
CAN,2011,1.78714
CAN,2012,1.77303
CAN,2013,1.70624
CAN,2014,1.71482
CAN,2015,1.6936
CAN,2016,1.72903
CAN,2017,1.68702
CAN,2018,1.7372
CAN,2019,1.75578
CAN,2020,1.93413
CAN,2021,1.87064
CAN,2022,1.81291
CAN,2023,1.81048
CAN,2024,1.7908
CHE,2012,2.87456
CHE,2015,3.04577
CHE,2017,3.04671
CHE,2019,3.14983
CHE,2021,3.24862
CHE,2023,3.22178
CHL,2010,0.33165
CHL,2011,0.35288
CHL,2012,0.36213
CHL,2013,0.39031
CHL,2014,0.37668
CHL,2015,0.38296
CHL,2016,0.37103
CHL,2017,0.35679
CHL,2018,0.36916
CHL,2019,0.34243
CHL,2020,0.33525
CHL,2021,0.36063
CHL,2022,0.39205
CHN,2010,1.68456
CHN,2011,1.75244
CHN,2012,1.88095
CHN,2013,1.96246
CHN,2014,1.98475
CHN,2015,2.01703
CHN,2016,2.0595
CHN,2017,2.07771
CHN,2018,2.10232
CHN,2019,2.20144
CHN,2020,2.35712
CHN,2021,2.38165
CHN,2022,2.4945
CHN,2023,2.57729
CIV,2016,0.06975
COD,2015,0.40638
COG,2022,0.38339
COL,2010,0.19358
COL,2011,0.19842
COL,2012,0.22116
COL,2013,0.25761
COL,2014,0.30317
COL,2015,0.36542
COL,2016,0.27051
COL,2017,0.26109
COL,2018,0.31233
COL,2019,0.32201
COL,2020,0.2894
CPV,2011,0.06622
CRI,2010,0.4799
CRI,2011,0.46235
CRI,2012,0.54713
CRI,2013,0.54253
CRI,2014,0.55627
CRI,2015,0.43665
CRI,2016,0.44335
CRI,2017,0.42587
CRI,2018,0.37144
CRI,2020,0.33002
CRI,2021,0.27385
CRI,2022,0.33789
CRI,2023,0.33738
CUB,2010,0.60767
CUB,2011,0.27192
CUB,2012,0.40716
CUB,2013,0.47467
CUB,2014,0.41596
CUB,2015,0.42854
CUB,2016,0.34223
CUB,2017,0.43066
CUB,2018,0.53691
CUB,2019,0.55308
CUB,2020,0.51838
CUB,2021,0.32282
CUB,2022,0.36032
CUB,2023,0.39213
CUB,2024,0.43839
CYP,2010,0.44292
CYP,2011,0.45263
CYP,2012,0.43765
CYP,2013,0.48485
CYP,2014,0.51205
CYP,2015,0.47529
CYP,2016,0.5197
CYP,2017,0.54259
CYP,2018,0.61032
CYP,2019,0.70269
CYP,2020,0.82581
CYP,2021,0.77686
CYP,2022,0.70468
CYP,2023,0.68145
CZE,2010,1.31352
CZE,2011,1.5323
CZE,2012,1.757
CZE,2013,1.86743
CZE,2014,1.94392
CZE,2015,1.906
CZE,2016,1.65411
CZE,2017,1.74513
