# World Bank Open Data GC.XPN.TOTL.GD.ZS, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,50.8630045999057
AFG,2011,59.4847758807514
AFG,2012,42.3292514484608
AFG,2013,42.0936844468805
AFG,2014,44.5892994893339
AFG,2015,37.0225695736427
AFG,2016,43.9227656125389
AFG,2017,39.2201099807684
AGO,2010,22.4956224962712
AGO,2011,23.7478413251854
AGO,2012,20.9149425556276
AGO,2013,25.0809923561283
AGO,2014,24.7809441862508
AGO,2015,18.3730580743151
AGO,2016,15.2039321329862
AGO,2017,14.34665940129
AGO,2018,13.7011726297107
AGO,2019,14.5692025631292
ALB,2011,22.8639005918422
ALB,2012,23.1453646987216
ALB,2013,24.1215753414946
ALB,2014,24.257646662903
ALB,2015,24.2686000374049
ALB,2016,23.7020106412118
ALB,2017,23.4381629574962
ALB,2018,22.9293224265946
ALB,2019,22.8783961540405
ALB,2020,24.6048161574433
ALB,2021,24.3983237122662
ALB,2022,27.0031497215906
ALB,2023,25.4359718739727
ARE,2011,3.92178680152351
ARE,2012,4.05152652328937
ARE,2013,3.81987342585138
ARE,2014,3.69545823893139
ARE,2015,4.02087203501514
ARE,2016,4.17730264580983
ARE,2017,3.88738973709252
ARE,2018,3.7980896779472
ARE,2019,4.10289459489635
ARE,2020,5.14595540707077
ARE,2021,4.26221557094977
ARE,2022,3.80975760842492
ARE,2023,3.76871680953009
ARG,2014,24.5697808575806
ARG,2015,25.0083932347048
ARG,2016,26.1799164832469
ARG,2017,24.2825320419979
ARG,2018,22.6709430512171
ARG,2019,22.0364845686943
ARG,2020,25.8405452538391
ARG,2021,22.8967903877811
ARG,2022,21.865226929082
ARG,2023,21.00878925888
ARM,2010,22.9973623470093
ARM,2011,22.5680163171222
ARM,2012,21.3736421560682
ARM,2013,22.6371817977093
ARM,2014,23.9875580530759
ARM,2015,25.0779813488419
ARM,2016,25.7115181584805
ARM,2017,22.6297249923647
ARM,2018,22.0768137564949
ARM,2019,21.7584805720085
ARM,2020,26.5812877778437
ARM,2021,24.968529504044
ARM,2022,21.1627548327889
ARM,2023,20.9471499751251
AUS,2010,26.6185983775997
AUS,2011,25.9163709195685
AUS,2012,26.0316102583583
AUS,2013,25.7719998082551
AUS,2014,26.1434698132436
AUS,2015,26.6555350269532
AUS,2016,26.8782732460928
AUS,2017,26.5276169849373
AUS,2018,26.1317227432746
AUS,2019,26.0711901942783
AUS,2020,30.1434988129749
AUS,2021,32.5518179379184
AUS,2022,27.5833132925557
AUT,2010,46.7361288145075
AUT,2011,45.7857004145268
AUT,2012,46.5833364419865
AUT,2013,47.2584334360885
AUT,2014,47.3819786391457
AUT,2015,46.3323461865485
AUT,2016,45.553025088735
AUT,2017,44.8654197632576
AUT,2018,44.1363840597814
AUT,2019,43.9069061163649
AUT,2020,51.1591725615403
AUT,2021,50.0216558788029
AUT,2022,47.3641894652228
AUT,2023,46.0304036608475
AZE,2010,20.8724832214765
AZE,2011,18.4783610460428
AZE,2012,22.1853838889224
AZE,2013,20.9255439826751
AZE,2014,22.1009894245612
AZE,2015,24.7887090842221
AZE,2016,27.1959381185333
AZE,2017,27.9587305829867
AZE,2018,21.402262398242
AZE,2019,24.2843990319453
