# World Bank Open Data MS.MIL.TOTL.P1, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,306800
AFG,2011,340350
AFG,2012,338150
AFG,2013,330650
AFG,2014,308800
AFG,2015,319400
AFG,2016,323000
AFG,2017,323000
AFG,2018,272900
AFG,2019,278000
AFG,2020,165000
AGO,2010,117000
AGO,2011,117000
AGO,2012,117000
AGO,2013,117000
AGO,2014,117000
AGO,2015,117000
AGO,2016,117000
AGO,2017,117000
AGO,2018,117000
AGO,2019,117000
AGO,2020,117000
ALB,2010,14745
ALB,2011,14750
ALB,2012,14750
ALB,2013,8500
ALB,2014,8500
ALB,2015,8500
ALB,2016,8500
ALB,2017,9000
ALB,2018,9000
ALB,2019,8000
ALB,2020,8000
ARE,2010,51000
ARE,2011,51000
ARE,2012,51000
ARE,2013,63000
ARE,2014,63000
ARE,2015,63000
ARE,2016,63000
ARE,2017,63000
ARE,2018,63000
ARE,2019,63000
ARE,2020,63000
ARG,2010,104340
ARG,2011,104350
ARG,2012,104350
ARG,2013,105650
ARG,2014,105650
ARG,2015,105450
ARG,2016,105450
ARG,2017,105000
ARG,2018,105200
ARG,2019,103000
ARG,2020,103000
ARM,2010,55528
ARM,2011,55544
ARM,2012,49100
ARM,2013,49100
ARM,2014,49100
ARM,2015,49100
ARM,2016,49100
ARM,2017,49000
ARM,2018,48800
ARM,2019,49000
ARM,2020,47000
ATG,2010,170
ATG,2011,180
ATG,2012,180
ATG,2013,180
ATG,2014,180
ATG,2015,180
ATG,2016,180
ATG,2017,0
ATG,2018,0
ATG,2019,0
ATG,2020,0
AUS,2010,56552
AUS,2011,57050
AUS,2012,56200
AUS,2013,56750
AUS,2014,56750
AUS,2015,57800
AUS,2016,57800
AUS,2017,58000
AUS,2018,58100
AUS,2019,59000
AUS,2020,60000
AUT,2010,25758
AUT,2011,23250
AUT,2012,22800
AUT,2013,22500
AUT,2014,22500
AUT,2015,21350
AUT,2016,22400
AUT,2017,21000
AUT,2018,22850
AUT,2019,22000
AUT,2020,23000
AZE,2010,81940
AZE,2011,81950
AZE,2012,81950
AZE,2013,81950
AZE,2014,81950
AZE,2015,81950
AZE,2016,81950
AZE,2017,82000
AZE,2018,81950
AZE,2019,82000
AZE,2020,82000
BDI,2010,51050
BDI,2011,51050
BDI,2012,51000
BDI,2013,51050
BDI,2014,51050
BDI,2015,41000
BDI,2016,51050
BDI,2017,31000
BDI,2018,51050
BDI,2019,51000
BDI,2020,31000
BEL,2010,35736
BEL,2011,34050
BEL,2012,30700
