# World Bank Open Data NV.IND.MANF.CD, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,1985663504.69017
AFG,2011,2453398176.74875
AFG,2012,2485646144.41251
AFG,2013,2316811184.00276
AFG,2014,2352575876.40564
AFG,2015,2185129260.81956
AFG,2016,745351407.840014
AFG,2017,662076240.50029
AFG,2018,1112110510.83443
AFG,2019,1324078917.64664
AFG,2020,1502305214.37745
AFG,2021,1211123774.78915
AFG,2022,1477307127.52739
AFG,2023,1293435754.18994
AFG,2024,1496561425.75373
AGO,2010,4287408953.4362
AGO,2011,5245654089.67395
AGO,2012,6262532532.51313
AGO,2013,7114270307.84886
AGO,2014,7252318034.68361
AGO,2015,5373785463.30726
AGO,2016,3514203749.04257
AGO,2017,4905693542.53535
AGO,2018,4833699146.54847
AGO,2019,4393761640.45159
AGO,2020,3567746207.53982
AGO,2021,4848700776.07943
AGO,2022,8612805843.30213
AGO,2023,7847840369.22263
AGO,2024,6778743788.62881
AGO,2025,8298877158.58976
ALB,2010,720435500.399488
ALB,2011,803363820.783362
ALB,2012,658785529.124608
ALB,2013,735526500.36505
ALB,2014,785427299.962078
ALB,2015,719858283.552249
ALB,2016,755694412.469541
ALB,2017,863961954.564117
ALB,2018,1031675115.15299
ALB,2019,1085890448.36829
ALB,2020,1077481583.98527
ALB,2021,1247506586.16692
ALB,2022,1427171427.85943
ALB,2023,1692088577.674
ALB,2024,1759050948.05831
ALB,2025,1842831538.50786
AND,2010,127640000.666667
AND,2011,132848209.338522
AND,2012,118740169.054688
AND,2013,122572013.839216
AND,2014,120295746.019607
AND,2015,103395506.277344
AND,2016,108365814.747082
AND,2017,112471057.929412
AND,2018,116194114.219608
AND,2019,115910390.745098
AND,2020,107937532.29572
AND,2021,135104425.620153
AND,2022,120879453.171207
AND,2023,128595277.862747
AND,2024,126389567.335937
ARE,2010,24923043904.9886
ARE,2011,28980487886.4501
ARE,2012,30764981374.7371
ARE,2013,31502829207.1404
ARE,2014,33477270465.9632
ARE,2015,33938410701.1515
ARE,2016,34512042134.3475
ARE,2017,36847613695.6809
ARE,2018,38430202580.0283
ARE,2019,38371586632.6323
ARE,2020,32116250206.6132
ARE,2021,37058003971.5172
ARE,2022,43696160850.5244
ARE,2023,49432722603.9888
ARE,2024,51773020762.1122
ARG,2010,67123175368.3781
ARG,2011,84033764932.5814
ARG,2012,83081051122.8397
ARG,2013,82864793306.4051
ARG,2014,77752039861.1526
ARG,2015,84344878153.7785
ARG,2016,75200104206.6516
ARG,2017,82610787771.5883
ARG,2018,73790429479.3891
ARG,2019,60629741137.9921
ARG,2020,56281582711.3467
ARG,2021,75701669306.8889
ARG,2022,104080020037.285
ARG,2023,107327116119.265
ARG,2024,96936086826.3434
ARG,2025,92789674938.8777
ARM,2012,1000845332.136
ARM,2013,1076844170.7506
ARM,2014,1122222631.24874
ARM,2015,971558304.419588
ARM,2016,1084633198.37413
ARM,2017,1225498672.41509
ARM,2018,1404248913.89681
ARM,2019,1595022102.92989
ARM,2020,1560606287.50286
ARM,2021,1531064374.6154
ARM,2022,2230821722.86364
ARM,2023,2476456889.52303
ARM,2024,2636463219.00542
ARM,2025,3214430893.25857
ATG,2010,27192592.5925926
ATG,2011,28088888.8888889
ATG,2012,28048148.1481481
ATG,2013,36233333.3333333
ATG,2014,38185185.1851852
ATG,2015,40274074.0740741
ATG,2016,42837037.037037
ATG,2017,45429629.6296296
ATG,2018,49985185.1851852
ATG,2019,51996296.2962963
ATG,2020,41096296.2962963
ATG,2021,44459259.2592593
ATG,2022,50218518.5185185
ATG,2023,50285185.1851852
ATG,2024,54770370.3703704
ATG,2025,56985185.1851852
AUS,2010,90778092906.0898
AUS,2011,101713263719.568
AUS,2012,107273743454.58
AUS,2013,102543163190.665
AUS,2014,91975612958.0718
AUS,2015,83604632878.2601
AUS,2016,71923352414.6726
AUS,2017,75023247500.4695
AUS,2018,79973180789.3839
AUS,2019,76233953579.1859
AUS,2020,73397638077.6685
AUS,2021,84744851922.0909
AUS,2022,89677570557.9697
AUS,2023,91394419093.0016
AUS,2024,94463332988.051
AUS,2025,95629870629.9839
AUT,2010,66327731282.8668
AUT,2011,73542776801.8387
AUT,2012,70190829110.032
AUT,2013,72972523950.7869
AUT,2014,75373654436.2252
AUT,2015,65444863055.8644
AUT,2016,69557569123.3694
AUT,2017,72374342908.5213
AUT,2018,78392304780.8133
AUT,2019,75760328861.9528
AUT,2020,72098388106.7706
AUT,2021,81580543054.4057
AUT,2022,78798817690.94
AUT,2023,82364468844.6936
AUT,2024,80933905264.1273
AUT,2025,88236775152.0779
AZE,2010,2543982058.31049
AZE,2011,2630412594.37295
AZE,2012,2951714833.03528
AZE,2013,3126414043.37058
AZE,2014,3541544749.96398
AZE,2015,2648931643.11844
AZE,2016,1866866534.39634
AZE,2017,1920512678.98591
AZE,2018,2176684115.51179
AZE,2019,2410411764.70588
AZE,2020,2604941176.47059
AZE,2021,3519294117.64706
AZE,2022,4163705882.35294
AZE,2023,3718294117.64706
AZE,2024,4129058823.52941
AZE,2025,4540882352.94118
BDI,2010,208147346.724865
BDI,2011,224233589.435516
BDI,2012,245251729.954259
BDI,2013,263483001.31739
BDI,2014,296420089.331513
BDI,2015,307103830.995665
BDI,2016,321451731.183375
BDI,2017,349542853.234361
BDI,2018,386323040.353889
BDI,2019,367825435.784602
BDI,2020,351430947.299802
BDI,2021,368433820.088722
BDI,2022,451772600.901168
BDI,2023,428601984.669394
BDI,2024,372283639.397856
BDI,2025,440745424.448675
BEL,2010,63221836973.3335
BEL,2011,68271646876.4593
BEL,2012,62907750135.3516
BEL,2013,66373628692.4316
BEL,2014,67699204317.9213
BEL,2015,57942868346.1328
BEL,2016,58090718123.113
BEL,2017,62342246500.3531
BEL,2018,66982913127.9215
BEL,2019,66625189608.6273
BEL,2020,63626948005.9146
BEL,2021,64310085072.092
BEL,2022,74080813339.1053
BEL,2023,77919028592.5504
BEL,2024,76787967022.8125
BEL,2025,81043520587.0587
BEN,2010,1119438570.40929
BEN,2011,1254708362.16295
BEN,2012,1193479627.90347
BEN,2013,1367170240.44546
BEN,2014,1379814512.52582
BEN,2015,1142878265.57857
BEN,2016,1173981451.39074
BEN,2017,1221907960.42585
BEN,2018,1306787720.84275
BEN,2019,1419844689.62354
BEN,2020,1519717922.44938
BEN,2021,1676745644.71821
BEN,2022,1711797821.03148
BEN,2023,1979543621.38577
BEN,2024,2185718276.98085
BEN,2025,2494120922.7393
BFA,2010,1227306679.2355
BFA,2011,1402782966.41654
BFA,2012,1299101515.41396
BFA,2013,1367254645.24751
BFA,2014,1533179979.7281
BFA,2015,1379664852.30135
BFA,2016,1427126200.95576
BFA,2017,1447287059.00689
BFA,2018,1672461830.69548
BFA,2019,1669111824.66543
BFA,2020,1778052265.18668
BFA,2021,1932632491.4307
BFA,2022,1903757961.11266
BFA,2023,1995925893.93058
BFA,2024,2197689501.17265
BFA,2025,1828265938.57674
BGD,2010,18583833053.9657
BGD,2011,20572997170.6682
BGD,2012,21215366551.7969
BGD,2013,24662857790.6125
BGD,2014,28721147380.6349
BGD,2015,32762527149.6439
BGD,2016,53967746788.2133
BGD,2017,58966969324.4339
BGD,2018,66850830760.9074
BGD,2019,74489012204.486
BGD,2020,77033525619.5612
BGD,2021,88398085892.132
BGD,2022,100146830952.669
BGD,2023,97727416239.7301
BGD,2024,98544468828.3762
BGD,2025,102404419323.59
BHR,2010,3910851063.82979
BHR,2011,4501409574.46809
BHR,2012,4719255319.14894
BHR,2013,4971835106.38298
BHR,2014,5159734042.55319
BHR,2015,5585319148.93617
BHR,2016,6045585106.38298
BHR,2017,6765505319.14894
BHR,2018,6794095744.68085
BHR,2019,6892420212.76596
BHR,2020,6467579787.23404
BHR,2021,8384069148.93617
BHR,2022,9726063829.78723
BHR,2023,9298404255.31915
BHR,2024,9379252659.57447
BHR,2025,9741488297.87234
BHS,2010,214800000
BHS,2011,220700000
BHS,2012,315800000
BHS,2013,272900000
BHS,2014,295200000
BHS,2015,293900000
BHS,2016,365000000
BHS,2017,324600000
BHS,2018,279500000
BHS,2019,278100000
BHS,2020,201300000
BHS,2021,229500000
BHS,2022,149900000
BHS,2023,130600000
BHS,2024,99700000
BIH,2010,1869609003.61607
BIH,2011,2035206906.91907
BIH,2012,1816578330.19097
BIH,2013,1988270331.44134
BIH,2014,2030361715.65133
BIH,2015,1823801355.4924
BIH,2016,2022163981.45168
BIH,2017,2302522311.0226
BIH,2018,2608020169.16267
BIH,2019,2556232435.03754
BIH,2020,2560988019.59265
BIH,2021,3310936643.91639
BIH,2022,3525970486.07936
BIH,2023,3663308926.63786
BIH,2024,3776145685.57462
BIH,2025,3921123477.10191
BLR,2010,12883186559.7228
BLR,2011,16318500069.3519
BLR,2012,16277681152.4667
BLR,2013,16612778081.2045
BLR,2014,16619741590.9469
BLR,2015,11654691482.2878
BLR,2016,9617338078.76403
BLR,2017,11836621053.623
BLR,2018,12761335840.8487
BLR,2019,13938300483.3675
BLR,2020,13186805078.7535
BLR,2021,15856618117.7189
BLR,2022,17701686912.1511
BLR,2023,16060751159.6588
BLR,2024,16407470661.0083
BLR,2025,19152140558.945
BLZ,2010,127682900
BLZ,2011,127625050
BLZ,2012,142796450
BLZ,2013,149971100
BLZ,2014,150883500
BLZ,2015,152689850
BLZ,2016,152659850
BLZ,2017,150585300
BLZ,2018,142066750
BLZ,2019,147975500
BLZ,2020,137303050
BLZ,2021,159462200
BLZ,2022,190442950
BLZ,2023,198117000
BLZ,2024,211245000
BOL,2010,2214528279.59486
BOL,2011,2477423099.622
BOL,2012,2766467120.11577
BOL,2013,3043801287.98842
BOL,2014,3213277004.34153
BOL,2015,3363113183.79161
BOL,2016,3728168494.93488
BOL,2017,5313110824.89146
BOL,2018,5413801056.43994
BOL,2019,5513281331.40376
BOL,2020,4806244602.02605
BOL,2021,5756445745.29667
BOL,2022,6245654891.46165
BOL,2023,6194946642.54703
BOL,2024,7170876599.13169
BRA,2010,281005236959.187
BRA,2011,308282556136.939
BRA,2012,263186297975.136
BRA,2013,259141899986.503
BRA,2014,253883632177.792
BRA,2015,189609619123.365
BRA,2016,193691599693.296
BRA,2017,221239717220.308
BRA,2018,201823568397.501
BRA,2019,193557513770.541
BRA,2020,157839136119.231
BRA,2021,198880098068.349
BRA,2022,255196129508.886
BRA,2023,290394278088.572
BRA,2024,264720626042.066
BRA,2025,268398195760.876
BRB,2010,298666250
BRB,2011,323795350
BRB,2012,295235200
BRB,2013,310286150
BRB,2014,296295150
BRB,2015,318136000
BRB,2016,317424350
BRB,2017,324878800
BRB,2018,317733250
BRB,2019,323295950
BRB,2020,275459350
BRB,2021,285798550
BRB,2022,354829450
BRB,2023,372111350
BRB,2024,376046050
BRN,2010,171263996.057232
BRN,2011,226135034.775855
BRN,2012,277784224.455351
BRN,2013,207212791.907709
