# World Bank Open Data NV.SRV.TOTL.CD, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,7750640788.72606
AFG,2011,8848567676.96903
AFG,2012,10069007544.1812
AFG,2013,10613685059.4782
AFG,2014,10861605729.0307
AFG,2015,10186159051.2556
AFG,2016,10692983731.6196
AFG,2017,10938713019.1724
AFG,2018,10737591606.7966
AFG,2019,10428579510.35
AFG,2020,10491252791.0318
AFG,2021,6725074082.51653
AFG,2022,6530995142.88942
AFG,2023,7954240731.3357
AFG,2024,8029036348.26712
AGO,2010,38445443241.9894
AGO,2011,47329905469.8276
AGO,2012,54600028836.334
AGO,2013,60072048680.1963
AGO,2014,67391719125.5055
AGO,2015,49098490965.4831
AGO,2016,27871154279.0509
AGO,2017,39215191596.341
AGO,2018,38782447144.1619
AGO,2019,35130907512.9864
AGO,2020,26559061437.2676
AGO,2021,33722036677.8857
AGO,2022,57040038555.9142
AGO,2023,46186125883.412
AGO,2024,45981710050.2221
AGO,2025,57213562838.7649
ALB,2010,4993336911.60214
ALB,2011,5479987280.54507
ALB,2012,5327952825.11164
ALB,2013,5455199530.43635
ALB,2014,5671887292.3777
ALB,2015,4918164762.7766
ALB,2016,5208858021.22561
ALB,2017,5908166910.57996
ALB,2018,6828044658.40541
ALB,2019,7083964904.48097
ALB,2020,6968600658.07639
ALB,2021,8164663145.28594
ALB,2022,8804819392.83503
ALB,2023,11197098690.4466
ALB,2024,13164544528.2763
ALB,2025,15183392690.6931
AND,2010,2656139627.50001
AND,2011,2808047009.92218
AND,2012,2449680864.89063
AND,2013,2491629128.65099
AND,2014,2559888161.29411
AND,2015,2194727448.94531
AND,2016,2262277512.99222
AND,2017,2336191969.75295
AND,2018,2499289457.73333
AND,2019,2446992162.5098
AND,2020,2307464579.29962
AND,2021,2639166727.90693
AND,2022,2643373221.92608
AND,2023,2964124939.17652
AND,2024,3137550383.78906
AND,2025,3501365749.09803
ARE,2010,150816734619.528
ARE,2011,160827948263.827
ARE,2012,172891360943.798
ARE,2013,189984631668.964
ARE,2014,206663898270.632
ARE,2015,218202082256.424
ARE,2016,226679653108.857
ARE,2017,233282370910.549
ARE,2018,235921306627.156
ARE,2019,242124093678.851
ARE,2020,209709064561.569
ARE,2021,226971398158.772
ARE,2022,255322268780.159
ARE,2023,281354870853.47
ARE,2024,303233478175.491
ARG,2010,218147704405.241
ARG,2011,274685000000
ARG,2012,292963866956.432
ARG,2013,297646952435.908
ARG,2014,278636495643.778
ARG,2015,331958726542.68
ARG,2016,312899603968.648
ARG,2017,369120480516.862
ARG,2018,295839662702.164
ARG,2019,248229900148.069
ARG,2020,211609016841.665
ARG,2021,257071424378.388
ARG,2022,339403077627.252
ARG,2023,345507603654.52
ARG,2024,342492033303.306
ARG,2025,383580131954.979
ARM,2012,4852916180.81756
