# World Bank Open Data NY.GDP.MKTP.KD.ZG, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,14.3624414710737
AFG,2011,0.426354776777345
AFG,2012,12.7522870926697
AFG,2013,5.60074465863221
AFG,2014,2.72454336219565
AFG,2015,1.45131466066431
AFG,2016,2.26031420279821
AFG,2017,2.6470032027451
AFG,2018,1.18922812944517
AFG,2019,3.91160341625552
AFG,2020,-2.35110067203466
AFG,2021,-20.7388393676343
AFG,2022,-6.24017199240269
AFG,2023,2.26694373649188
AFG,2024,1.87319280045979
AGO,2010,5.29366572819954
AGO,2011,3.59386960240222
AGO,2012,8.50312283866612
AGO,2013,4.88306129688392
AGO,2014,4.65572356315585
AGO,2015,0.763177710914789
AGO,2016,-0.233076954805284
AGO,2017,-0.164688656961076
AGO,2018,-0.506697543616156
AGO,2019,-1.05523414494337
AGO,2020,-5.27349128300007
AGO,2021,1.09058369944815
AGO,2022,3.55749206675667
AGO,2023,1.32016587081031
AGO,2024,4.95267860425956
AGO,2025,3.13353542450008
ALB,2010,2.97315442681247
ALB,2011,2.46351683915714
ALB,2012,0.984129880204108
ALB,2013,1.7072283175406
ALB,2014,2.24022695382642
ALB,2015,2.2277040745779
ALB,2016,3.90893551362245
ALB,2017,3.28317593330073
ALB,2018,3.67141928098908
ALB,2019,2.06257790176122
ALB,2020,-3.31375636888916
ALB,2021,8.96957619074095
ALB,2022,4.8268006234359
ALB,2023,4.01541716935742
ALB,2024,4.04592845095348
ALB,2025,3.78893836241024
AND,2010,-1.97495799965345
AND,2011,-0.00806975341139093
AND,2012,-4.97444371853503
AND,2013,-3.54759651549344
AND,2014,2.50446552114518
AND,2015,1.43414039522716
AND,2016,3.70967806978986
AND,2017,0.346071889630295
AND,2018,1.58876549046354
AND,2019,2.01554763848308
AND,2020,-11.1839399355384
AND,2021,8.28677879049404
AND,2022,9.56461225648184
AND,2023,2.58355480961319
AND,2024,3.8491605039052
AND,2025,3.86803450687808
ARE,2010,1.60285004336325
ARE,2011,6.73651167897515
ARE,2012,4.68325642918792
ARE,2013,4.9184505919085
ARE,2014,4.63291785879667
ARE,2015,7.08766622657654
ARE,2016,5.65790147196586
ARE,2017,-1.06137114472548
ARE,2018,1.53720634021511
ARE,2019,1.27129120536284
ARE,2020,-8.69343363776639
ARE,2021,4.55280140106356
ARE,2022,7.51452414254605
ARE,2023,4.30113648499413
ARE,2024,3.99181200361831
ARG,2010,10.1253981561002
ARG,2011,6.00395169280579
ARG,2012,-1.0264204544321
ARG,2013,2.40532378079436
ARG,2014,-2.51261532081394
ARG,2015,2.73115982828944
ARG,2016,-2.08032784377811
ARG,2017,2.81850297775918
ARG,2018,-2.61739646282038
ARG,2019,-2.00086100285785
ARG,2020,-9.9004848136464
ARG,2021,10.4418119882506
ARG,2022,6.02074537534855
ARG,2023,-1.85578803046339
ARG,2024,-1.34293072157739
ARG,2025,4.36733330217022
ARM,2010,2.2000000002151
ARM,2011,4.69999999867412
ARM,2012,7.20000000096486
ARM,2013,3.3
ARM,2014,3.60000000058993
ARM,2015,3.19999999896625
ARM,2016,0.199999999825991
ARM,2017,7.50000000164144
ARM,2018,5.19999999965324
ARM,2019,7.59999999853918
ARM,2020,-7.19999999920631
ARM,2021,5.80000000065645
ARM,2022,12.5999999997766
ARM,2023,8.29999999959539
ARM,2024,5.90000000046228
ARM,2025,7.2
ATG,2010,-7.84050683730972
ATG,2011,-1.95874262217572
ATG,2012,3.37314273947959
ATG,2013,-0.600982329599361
ATG,2014,2.19829188738797
ATG,2015,1.42161997595372
ATG,2016,4.1203675438061
ATG,2017,2.71272657973627
ATG,2018,6.71200487159726
ATG,2019,3.1722219373937
ATG,2020,-18.8687765208148
ATG,2021,8.17286311186622
ATG,2022,8.49776342254205
ATG,2023,3.86550160079324
ATG,2024,2.54044193946544
ATG,2025,4.99803998431987
AUS,2010,2.21004795300735
AUS,2011,2.39473494330615
AUS,2012,3.95247138119184
AUS,2013,2.65445302592404
AUS,2014,2.60118978187332
AUS,2015,2.16434780647852
AUS,2016,2.75564065529868
AUS,2017,2.29331030192918
AUS,2018,2.87417039499501
AUS,2019,2.19401703622717
AUS,2020,-0.133531904304775
AUS,2021,2.00694844335034
AUS,2022,4.25304559238732
AUS,2023,3.58382100798981
AUS,2024,1.37340773365975
AUS,2025,1.35039785076631
AUT,2010,1.80898243043663
AUT,2011,2.92746800169145
AUT,2012,0.628246239479637
AUT,2013,-0.250726423318454
AUT,2014,0.755798850316665
AUT,2015,1.30352331826198
AUT,2016,2.11721964494312
AUT,2017,2.27224992038207
AUT,2018,2.48422114080024
AUT,2019,1.75497619649288
AUT,2020,-6.31825509209936
AUT,2021,4.92309171717903
AUT,2022,5.33096379400371
AUT,2023,-0.786244288594673
AUT,2024,-0.659089573171372
AUT,2025,0.615747280959056
AZE,2010,4.78883248761557
AZE,2011,-1.5729973511111
AZE,2012,2.20293891708398
AZE,2013,5.84341590483928
AZE,2014,2.79758521448559
AZE,2015,1.04954641215085
AZE,2016,-3.06359842251706
AZE,2017,0.153614661745507
AZE,2018,1.50040167167313
AZE,2019,2.47980879185565
AZE,2020,-4.19896065333343
AZE,2021,5.61644027150554
AZE,2022,4.71468033247649
AZE,2023,1.35447749115767
AZE,2024,4.15806800428062
AZE,2025,1.44985591122698
BDI,2010,5.09373697323055
BDI,2011,4.02442793864228
BDI,2012,4.42303118490126
BDI,2013,4.92392485117456
BDI,2014,4.24490803087248
BDI,2015,-0.404525595204191
BDI,2016,3.20017470408993
BDI,2017,3.83185757061784
BDI,2018,5.34224473186408
BDI,2019,4.45934202358784
BDI,2020,0.306443811651718
BDI,2021,3.23707479372925
BDI,2022,2.31770122350822
BDI,2023,3.25476897326196
BDI,2024,4.11227376394912
BDI,2025,4.24010529884178
BEL,2010,2.71031150254662
BEL,2011,1.93115502411325
BEL,2012,0.215803612089744
BEL,2013,0.305494549070232
BEL,2014,1.76554038149924
BEL,2015,1.47416433731927
BEL,2016,1.19350273007754
BEL,2017,1.47446761556785
BEL,2018,1.87796847383565
BEL,2019,2.4428900448156
BEL,2020,-4.7929839083518
BEL,2021,6.25445686466593
BEL,2022,4.02460852835887
BEL,2023,1.56125539542029
BEL,2024,1.09775383828703
BEL,2025,0.983117967125935
BEN,2010,2.11406472648392
BEN,2011,2.96375291904201
BEN,2012,4.811223315688
BEN,2013,7.19143372144946
BEN,2014,6.35767909791932
BEN,2015,1.77815106030278
BEN,2016,3.33967342629693
BEN,2017,5.67156195150444
BEN,2018,6.69725362180888
BEN,2019,6.86568662848335
BEN,2020,3.84879240030133
BEN,2021,7.1554516457574
BEN,2022,6.25294705373625
BEN,2023,6.3527773854442
BEN,2024,7.45311566226201
BEN,2025,8.07408453688336
BFA,2010,8.44628157707625
BFA,2011,6.62256261306693
BFA,2012,6.45267237953146
BFA,2013,5.79258484509867
BFA,2014,4.32684561452976
BFA,2015,3.9212287937935
BFA,2016,5.95797670754024
BFA,2017,6.20348941121868
BFA,2018,6.60456906812341
BFA,2019,5.88920497068135
BFA,2020,2.01077262406221
BFA,2021,6.94252492572348
BFA,2022,1.62673258211919
BFA,2023,3.00027415814125
BFA,2024,4.83395810163883
BFA,2025,5.29461839319283
BGD,2010,5.57178818533122
BGD,2011,6.46437912497728
BGD,2012,6.52145877906443
BGD,2013,6.01360565834344
BGD,2014,6.0610593588495
BGD,2015,6.55263987816197
BGD,2016,7.11347821270093
BGD,2017,6.59024999794057
BGD,2018,7.31941263014136
BGD,2019,7.88191515117722
BGD,2020,3.44801755122445
BGD,2021,6.93867912442445
BGD,2022,7.09982877575158
BGD,2023,5.77511237007889
BGD,2024,4.22325911250161
BGD,2025,3.48990671836833
BGR,2010,1.55536266288017
BGR,2011,2.09017598337418
BGR,2012,0.748814556346105
BGR,2013,-0.542753400392826
BGR,2014,0.949449772002041
BGR,2015,3.39755351999294
BGR,2016,3.02662820096305
BGR,2017,2.74592737750996
BGR,2018,2.33015054210419
BGR,2019,3.79331964589196
BGR,2020,-3.13323543125917
BGR,2021,7.82817310703665
BGR,2022,4.08386398118941
BGR,2023,1.68151075832925
BGR,2024,3.38708962009333
BGR,2025,3.0963663917961
BHR,2010,4.3342989754845
BHR,2011,1.92815791170796
BHR,2012,3.80302899043062
BHR,2013,5.29262224906203
BHR,2014,4.30885692657077
BHR,2015,2.50787205267615
BHR,2016,3.81499327422425
