# World Bank Open Data SE.XPD.TOTL.GD.ZS, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,3.4794499874115
AFG,2011,3.4620099067688
AFG,2012,2.60420989990234
AFG,2013,3.45445990562439
AFG,2014,3.69521999359131
AFG,2015,3.25578999519348
AFG,2016,4.5439600944519
AFG,2017,4.34319019317627
AGO,2010,3.42131996154785
AGO,2012,3.08191085718142
AGO,2013,4.43894951297476
AGO,2015,3.48689580393413
AGO,2016,2.75493664582725
AGO,2017,2.46687881104886
AGO,2018,2.18351298946275
AGO,2019,2.07306438181603
AGO,2020,2.66744733689285
AGO,2021,2.29719689513241
AGO,2022,2.38535898416633
AGO,2023,2.51273663315785
ALB,2011,3.17881310743026
ALB,2012,3.29533986928598
ALB,2013,3.53355002403259
ALB,2014,3.18177734553254
ALB,2015,3.41300010681152
ALB,2016,3.91997003555298
ALB,2017,3.54673004150391
ALB,2018,3.08201370407389
ALB,2019,3.8701798915863
ALB,2020,3.32505011558533
ALB,2021,3.00555992126465
ALB,2022,2.72977995872498
ALB,2023,3.09153008460998
AND,2010,2.97662997245789
AND,2011,2.98706007003784
AND,2012,2.56577895521486
AND,2013,2.50616002082825
AND,2014,3.07420992851257
AND,2015,3.28034996986389
AND,2016,3.23707008361816
AND,2017,3.21708989143372
AND,2018,3.2467200756073
AND,2019,3.15060997009277
AND,2020,2.63213046553066
AND,2021,2.381921736037
AND,2022,2.64727997779846
AND,2023,1.89867997169495
ARE,2019,3.86019992828369
ARE,2020,3.98417997360229
ARE,2021,3.89404010772705
ARG,2010,5.01972007751465
ARG,2011,5.29063987731934
ARG,2012,5.3458399772644
ARG,2013,5.43660020828247
ARG,2014,5.36144018173218
ARG,2015,5.77611017227173
ARG,2016,5.54548978805542
ARG,2017,5.45432996749878
ARG,2018,4.87773990631104
ARG,2019,4.77165985107422
ARG,2020,5.27689981460571
ARG,2021,4.65393018722534
ARG,2022,4.79263019561768
ARG,2023,5.00324010848999
ARM,2010,3.24900007247925
ARM,2011,3.14384007453919
ARM,2012,2.77248001098633
ARM,2013,2.65018010139465
ARM,2014,2.24724006652832
ARM,2015,2.80591011047363
ARM,2016,2.75812005996704
ARM,2017,2.70759010314941
ARM,2018,2.11331180512289
ARM,2019,2.15984239839771
ARM,2020,2.70555996894836
ARM,2021,2.76784992218018
ARM,2022,2.4918999671936
ARM,2023,2.43869996070862
ATG,2012,2.13043025907083
ATG,2013,2.35972143126598
ATG,2014,2.3044409375638
ATG,2015,1.9934755302761
ATG,2016,2.17149931504636
ATG,2017,2.28158315038897
ATG,2018,2.26922708436893
ATG,2019,3.35725653382563
ATG,2020,3.0051830460864
ATG,2021,2.50897393198865
ATG,2022,2.50368755552383
ATG,2023,3.10505161832136
AUS,2020,5.38625001907349
AUS,2021,5.34109020233154
AUS,2022,5.05915021896362
AUT,2010,5.73625993728638
AUT,2011,5.62787008285522
AUT,2012,5.51612997055054
AUT,2013,5.59404993057251
AUT,2014,5.49767017364502
AUT,2015,5.49143981933594
AUT,2016,5.50954008102417
AUT,2017,5.40181016921997
AUT,2018,5.25437021255493
AUT,2019,5.23678016662598
AUT,2020,5.57961988449097
AUT,2021,5.48071002960205
AUT,2022,5.27749013900757
AZE,2010,2.78062009811401
AZE,2011,2.43564009666443
AZE,2012,2.06763005256653
AZE,2013,2.44213008880615
AZE,2014,2.63303995132446
AZE,2015,2.95167994499206
AZE,2016,2.90340995788574
AZE,2017,2.4738199710846
AZE,2018,2.45543003082275
AZE,2019,3.1764600276947
AZE,2020,4.33204984664917
AZE,2021,3.7020800113678
AZE,2022,3.04689002037048
AZE,2023,3.66036009788513
BDI,2010,6.77523994445801
BDI,2011,6.31926012039185
BDI,2012,6.16776990890503
BDI,2013,5.99539995193481
BDI,2014,6.78452014923096
BDI,2015,6.37133979797363
BDI,2016,4.69199991226196
BDI,2017,4.76202011108398
BDI,2018,5.07863998413086
BDI,2019,5.34668445378401
BDI,2020,5.32158506838731
BDI,2021,4.87114173892375
BDI,2025,4.5040397644043
BEL,2010,6.44078016281128
BEL,2011,6.38481998443604
BEL,2012,6.56625986099243
BEL,2013,6.60135984420776
BEL,2014,6.55866003036499
BEL,2015,6.46963977813721
BEL,2016,6.48613023757935
BEL,2017,6.44915008544922
BEL,2018,6.38883018493652
BEL,2019,6.32381010055542
BEL,2020,6.75470018386841
BEL,2021,6.38081979751587
BEL,2022,6.27611017227173
BEN,2010,3.67997002601623
BEN,2012,3.56202006340027
BEN,2013,3.3275101184845
BEN,2014,3.161789894104
BEN,2015,3.17298007011414
BEN,2016,2.89910006523132
BEN,2017,3.53558993339539
BEN,2018,2.93161988258362
BEN,2019,2.73204741460628
BEN,2020,2.89898431911618
BEN,2021,3.09692638090381
BEN,2022,3.0972642678305
BEN,2023,3.22974322056608
BFA,2010,3.50222992897034
BFA,2011,3.98515009880066
BFA,2012,3.60315990447998
BFA,2013,4.08343982696533
BFA,2014,4.05329990386963
BFA,2015,3.67008996009827
BFA,2017,5.62846994400024
BFA,2018,5.488609790802
BFA,2019,5.45615632520251
BFA,2020,5.21148277030166
BFA,2021,5.24913346712028
BFA,2022,5.29456753304241
BFA,2023,5.32757840997187
BGD,2011,2.13269996643066
