# World Bank Open Data SH.XPD.GHED.GD.ZS, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,0.46915731
AFG,2011,0.47999981
AFG,2012,0.34288675
AFG,2013,0.44335932
AFG,2014,0.47265697
AFG,2015,0.52267277
AFG,2016,0.60012972
AFG,2017,0.64313394
AFG,2018,0.55239552
AFG,2019,0.49705607
AFG,2020,1.18621242
AFG,2021,0.71036398
AFG,2022,0.18147056
AFG,2023,0.24774949
AGO,2010,1.46826649
AGO,2011,1.52542961
AGO,2012,1.39434171
AGO,2013,1.5071826
AGO,2014,1.16797769
AGO,2015,1.08924341
AGO,2016,1.05520773
AGO,2017,1.12824702
AGO,2018,0.97981894
AGO,2019,1.00303984
AGO,2020,1.46055436
AGO,2021,1.51676536
AGO,2022,1.30711842
AGO,2023,1.1340301
ALB,2010,2.35073113
ALB,2011,2.36980104
ALB,2012,2.42631125
ALB,2013,2.54741931
ALB,2014,2.56312561
ALB,2015,2.67593837
ALB,2016,2.84762025
ALB,2017,2.74185801
ALB,2018,2.84073949
ALB,2019,2.89433575
ALB,2020,2.97455955
ALB,2021,2.91998744
ALB,2022,3.72758842
ALB,2023,3.49766994
AND,2010,5.68869781
AND,2011,5.60742188
AND,2012,4.67067814
AND,2013,4.76766396
AND,2014,4.8130722
AND,2015,4.97208548
AND,2016,5.00518513
AND,2017,5.08694077
AND,2018,5.21907949
AND,2019,5.22278023
AND,2020,6.37670708
AND,2021,6.16799164
AND,2022,5.53698158
AND,2023,5.45127535
ARE,2010,2.65301466
ARE,2011,2.58301282
ARE,2012,2.42006803
ARE,2013,2.52060986
ARE,2014,2.50834441
ARE,2015,2.46962833
ARE,2016,2.97157669
ARE,2017,2.19714189
ARE,2018,2.1139648
ARE,2019,2.2531426
ARE,2020,3.55229998
ARE,2021,3.40082932
ARE,2022,3.0025692
ARE,2023,3.31956935
ARG,2010,5.56987906
ARG,2011,5.71961212
ARG,2012,6.14357281
ARG,2013,6.2950058
ARG,2014,6.40571356
ARG,2015,6.80309105
ARG,2016,6.5777607
ARG,2017,6.68290806
ARG,2018,6.11101341
ARG,2019,6.2193737
ARG,2020,6.99057627
ARG,2021,6.34810066
ARG,2022,5.95705795
ARG,2023,6.18493843
ARM,2010,1.68628836
ARM,2011,1.6728667
ARM,2012,1.57816982
ARM,2013,1.37565804
ARM,2014,1.50548005
ARM,2015,1.61020839
ARM,2016,1.63735199
ARM,2017,1.37250984
ARM,2018,1.23468125
ARM,2019,1.41167367
ARM,2020,2.35673714
ARM,2021,2.18868065
ARM,2022,1.71535587
ARM,2023,1.46441019
ATG,2010,2.77452183
ATG,2011,2.73921561
ATG,2012,2.71204996
ATG,2013,2.75379777
ATG,2014,3.14859223
ATG,2015,2.93535352
ATG,2016,2.75887132
ATG,2017,2.61894512
ATG,2018,2.81542587
ATG,2019,2.49952674
ATG,2020,3.58067584
ATG,2021,3.06314707
ATG,2022,2.85039449
ATG,2023,2.30815935
AUS,2010,6.0919981
AUS,2011,6.2522192
AUS,2012,6.17619228
AUS,2013,5.92386961
AUS,2014,6.89110136
AUS,2015,7.2235322
AUS,2016,7.20443821
AUS,2017,7.23039198
AUS,2018,7.19087696
AUS,2019,7.53765869
AUS,2020,7.85286617
AUS,2021,7.93791485
AUS,2022,7.34881544
AUS,2023,7.65963793
AUT,2010,7.45021629
AUT,2011,7.34409189
AUT,2012,7.49027205
AUT,2013,7.49345398
AUT,2014,7.59864187
AUT,2015,7.5736208
AUT,2016,7.54772329
AUT,2017,7.71547127
AUT,2018,7.75579357
AUT,2019,7.88670015
AUT,2020,8.71023846
AUT,2021,9.46212482
AUT,2022,8.65631485
AUT,2023,8.532197
AZE,2010,1.01347423
AZE,2011,0.94998968
AZE,2012,1.11568439
AZE,2013,1.06625199
AZE,2014,1.13015568
AZE,2015,1.30528009
AZE,2016,1.16546094
AZE,2017,1.00444698
AZE,2018,0.88865483
AZE,2019,1.06925082
AZE,2020,2.32817769
AZE,2021,1.48136711
AZE,2022,0.95312107
AZE,2023,1.39353979
